#1+z Log10(Mass/Msun) Log10(Median_SFR_for_SF_Halos/(Msun/yr)) One-sigma-uncertainty(dex)
1.01859 10.85 -1.30975 0.150306
1.01859 10.9 -1.19583 0.153307
1.01859 10.95 -1.08246 0.153329
1.01859 11 -0.970334 0.152755
1.01859 11.05 -0.86032 0.151047
1.01859 11.1 -0.753396 0.151771
1.01859 11.15 -0.650563 0.150795
1.01859 11.2 -0.552762 0.149611
1.01859 11.25 -0.4608 0.14825
1.01859 11.3 -0.375306 0.14538
1.01859 11.35 -0.2967 0.143698
1.01859 11.4 -0.225179 0.14238
1.01859 11.45 -0.160726 0.140545
1.01859 11.5 -0.103119 0.139142
1.01859 11.55 -0.0519608 0.14059
1.01859 11.6 -0.00671298 0.143488
1.01859 11.65 0.0332566 0.140906
1.01859 11.7 0.0686216 0.143798
1.01859 11.75 0.100047 0.1491
1.01859 11.8 0.128148 0.153705
1.01859 11.85 0.153463 0.157143
1.01859 11.9 0.176444 0.161393
1.01859 11.95 0.197463 0.157906
1.01859 12 0.216821 0.16221
1.01859 12.05 0.234768 0.170885
1.01859 12.1 0.251515 0.174457
1.01859 12.15 0.267245 0.17735
1.01859 12.2 0.282119 0.179276
1.01859 12.25 0.296278 0.184082
1.01859 12.3 0.309848 0.191821
1.01859 12.35 0.322936 0.199222
1.01859 12.4 0.335632 0.207354
1.01859 12.45 0.348012 0.215481
1.01859 12.5 0.36014 0.223849
1.01859 12.55 0.372067 0.231734
1.01859 12.6 0.383833 0.241508
1.01859 12.65 0.395472 0.246764
1.01859 12.7 0.40701 0.254139
1.01859 12.75 0.418469 0.262976
1.01859 12.8 0.429864 0.271694
1.01859 12.85 0.441209 0.280662
1.01859 12.9 0.452514 0.290608
1.01859 12.95 0.463788 0.299526
1.01859 13 0.475037 0.30777
1.01859 13.05 0.486267 0.325463
1.01859 13.1 0.497481 0.335012
1.01859 13.15 0.508682 0.340453
1.01859 13.2 0.519874 0.348293
1.01859 13.25 0.531059 0.349776
1.01859 13.3 0.542237 0.355405
1.01859 13.35 0.553411 0.365442
1.01859 13.4 0.564581 0.37484
1.01859 13.45 0.575747 0.383504
1.01859 13.5 0.586912 0.395132
1.01859 13.55 0.598074 0.405312
1.01859 13.6 0.609235 0.407994
1.01859 13.65 0.620395 0.415878
1.01859 13.7 0.631554 0.429304
1.01859 13.75 0.642713 0.44211
1.01859 13.8 0.65387 0.450056
1.01859 13.85 0.665027 0.458443
1.01859 13.9 0.676184 0.468177
1.01859 13.95 0.687341 0.478268
1.01859 14 0.698497 0.488816
1.01859 14.05 0.709653 0.49952
1.01859 14.1 0.720809 0.508646
1.01859 14.15 0.731965 0.520063
1.01859 14.2 0.743121 0.531856
1.01859 14.25 0.754277 0.543482
1.01859 14.3 0.765433 0.555667
1.01859 14.35 0.776588 0.566236
1.01859 14.4 0.787744 0.576826
1.01859 14.45 0.7989 0.587725
1.01859 14.5 0.810055 0.597735
1.01859 14.55 0.821211 0.607838
1.01859 14.6 0.832366 0.618205
1.01859 14.65 0.843522 0.630623
1.01859 14.7 0.854677 0.642306
1.01859 14.75 0.865833 0.652334
1.01859 14.8 0.876988 0.662363
1.01859 14.85 0.888144 0.673238
1.01859 14.9 0.899299 0.684878
1.01859 14.95 0.910455 0.695076
1.01859 15 0.92161 0.705463
1.02802 10 -3.23475 0.231567
1.02802 10.05 -3.12147 0.221671
1.02802 10.1 -3.00822 0.211055
1.02802 10.15 -2.89501 0.202386
