#1+z Log10(Mass/Msun) Log10(Average_SFR_for_All_Halos/(Msun/yr)) One-sigma-uncertainty(dex)
1.04713 13.8 -0.357922 0.463869
1.04713 13.85 -0.379808 0.482026
1.04713 13.9 -0.402339 0.500081
1.04713 13.95 -0.425518 0.521124
1.04713 14 -0.449346 0.54136
1.04713 14.05 -0.473827 0.554525
1.04713 14.1 -0.498963 0.580602
1.04713 14.15 -0.524757 0.59858
1.04713 14.2 -0.551211 0.617857
1.04713 14.25 -0.578328 0.639531
1.04713 14.3 -0.60611 0.66049
1.04713 14.35 -0.63456 0.677584
1.04713 14.4 -0.663679 0.700672
1.04713 14.45 -0.69347 0.72642
1.04713 14.5 -0.723935 0.74877
1.04713 14.55 -0.755076 0.775664
1.04713 14.6 -0.786895 0.804518
1.04713 14.65 -0.819394 0.827186
1.04713 14.7 -0.852574 0.854187
1.04713 14.75 -0.886438 0.887403
1.04713 14.8 -0.920988 0.915007
1.04713 14.85 -0.956225 0.930764
1.04713 14.9 -0.992151 0.951191
1.04713 14.95 -1.02877 0.980554
1.04713 15 -1.06608 1.01501
1.05682 10 -3.27788 0.220729
1.05682 10.05 -3.16558 0.21333
1.05682 10.1 -3.05343 0.201816
1.05682 10.15 -2.94142 0.191066
1.05682 10.2 -2.82957 0.18161
1.05682 10.25 -2.71791 0.174489
1.05682 10.3 -2.60644 0.171691
1.05682 10.35 -2.49518 0.167402
1.05682 10.4 -2.38414 0.162072
1.05682 10.45 -2.27332 0.155133
1.05682 10.5 -2.1627 0.150671
1.05682 10.55 -2.05225 0.148714
1.05682 10.6 -1.94189 0.144969
1.05682 10.65 -1.83152 0.142239
1.05682 10.7 -1.72098 0.140644
1.05682 10.75 -1.61016 0.137169
1.05682 10.8 -1.49895 0.134509
1.05682 10.85 -1.38738 0.134298
1.05682 10.9 -1.27563 0.136347
1.05682 10.95 -1.16414 0.136598
1.05682 11 -1.0536 0.137019
1.05682 11.05 -0.944925 0.134855
1.05682 11.1 -0.839213 0.136516
1.05682 11.15 -0.737613 0.137343
1.05682 11.2 -0.641238 0.138055
1.05682 11.25 -0.551075 0.138495
1.05682 11.3 -0.467911 0.137977
1.05682 11.35 -0.392303 0.134028
1.05682 11.4 -0.324555 0.132896
1.05682 11.45 -0.264722 0.131674
1.05682 11.5 -0.212627 0.132868
1.05682 11.55 -0.16788 0.131742
1.05682 11.6 -0.129926 0.129397
1.05682 11.65 -0.0980827 0.131514
1.05682 11.7 -0.0716069 0.133877
1.05682 11.75 -0.0497511 0.134907
1.05682 11.8 -0.0318185 0.135775
1.05682 11.85 -0.0172017 0.136202
1.05682 11.9 -0.00540115 0.137882
1.05682 11.95 0.00397637 0.141704
1.05682 12 0.0112334 0.143709
1.05682 12.05 0.0166045 0.145825
1.05682 12.1 0.020278 0.148872
1.05682 12.15 0.0224131 0.150572
1.05682 12.2 0.0231503 0.154276
1.05682 12.25 0.0226166 0.155569
1.05682 12.3 0.0209264 0.159095
1.05682 12.35 0.0181815 0.159318
1.05682 12.4 0.0144702 0.162615
1.05682 12.45 0.00986724 0.167585
1.05682 12.5 0.00443454 0.173648
1.05682 12.55 -0.00177801 0.177084
1.05682 12.6 -0.00873079 0.181802
1.05682 12.65 -0.016393 0.186588
1.05682 12.7 -0.0247411 0.19325
1.05682 12.75 -0.0337573 0.20171
1.05682 12.8 -0.0434288 0.210718
1.05682 12.85 -0.0537462 0.219116
1.05682 12.9 -0.0647034 0.226033
1.05682 12.95 -0.0762964 0.231378
1.05682 13 -0.0885231 0.244192
1.05682 13.05 -0.101383 0.256308
1.05682 13.1 -0.114876 0.269221
1.05682 13.15 -0.129003 0.281887
1.05682 13.2 -0.143767 0.293275
1.05682 13.25 -0.159169 0.307965
1.05682 13.3 -0.175213 0.316702
1.05682 13.35 -0.1919 0.323622
1.05682 13.4 -0.209235 0.338598
1.05682 13.45 -0.227221 0.350048
1.05682 13.5 -0.24586 0.359946
1.05682 13.55 -0.265156 0.373895
1.05682 13.6 -0.285112 0.389057
1.05682 13.65 -0.305731 0.407431
1.05682 13.7 -0.327018 0.422828
1.05682 13.75 -0.348974 0.436714
1.05682 13.8 -0.371604 0.461849
1.05682 13.85 -0.39491 0.477306
1.05682 13.9 -0.418895 0.492965
1.05682 13.95 -0.443562 0.510576
1.05682 14 -0.468914 0.528522
1.05682 14.05 -0.494955 0.550609
1.05682 14.1 -0.521685 0.569627
1.05682 14.15 -0.54911 0.591941
1.05682 14.2 -0.57723 0.615475
1.05682 14.25 -0.606048 0.634814
1.05682 14.3 -0.635567 0.656093
1.05682 14.35 -0.66579 0.687869
1.05682 14.4 -0.696718 0.711429
1.05682 14.45 -0.728354 0.735241
1.05682 14.5 -0.7607 0.757003
1.05682 14.55 -0.793759 0.779497
1.05682 14.6 -0.827531 0.798905
1.05682 14.65 -0.86202 0.819666
1.05682 14.7 -0.897227 0.842275
1.05682 14.75 -0.933154 0.873778
1.05682 14.8 -0.969804 0.903463
