#1+z Log10(Mass/Msun) Log10(Average_SFR_for_All_Halos/(Msun/yr)) One-sigma-uncertainty(dex)
2.12814 13.75 -8.49865 4.81223
2.12814 13.8 -9.08715 4.94017
2.12814 13.85 -9.6934 4.98355
2.12814 13.9 -10.3174 4.95306
2.12814 13.95 -10.9593 5.08192
2.12814 14 -11.619 5.08921
2.12814 14.05 -12.2977 4.86252
2.12814 14.1 -12.9979 4.97786
2.12814 14.15 -13.7473 4.87441
2.12814 14.2 0 4.93816
2.12814 14.25 0 4.94264
2.12814 14.3 0 4.97808
2.12814 14.35 0 4.96447
2.12814 14.4 0 5.02533
2.12814 14.45 0 4.9434
2.12814 14.5 0 4.9181
2.12814 14.55 0 4.88799
2.12814 14.6 0 5.07782
2.12814 14.65 0 5.20202
2.12814 14.7 0 4.94039
2.12814 14.75 0 4.94501
2.12814 14.8 0 4.90582
2.14783 10 -3.13604 0.227627
2.14783 10.05 -3.02296 0.223541
2.14783 10.1 -2.90987 0.216519
2.14783 10.15 -2.79679 0.207985
2.14783 10.2 -2.68371 0.199602
2.14783 10.25 -2.57063 0.190932
2.14783 10.3 -2.45755 0.183743
2.14783 10.35 -2.34448 0.174434
2.14783 10.4 -2.23141 0.171111
2.14783 10.45 -2.11834 0.164138
2.14783 10.5 -2.00528 0.15668
2.14783 10.55 -1.89224 0.15198
2.14783 10.6 -1.7792 0.149441
2.14783 10.65 -1.66618 0.146274
2.14783 10.7 -1.55317 0.144327
2.14783 10.75 -1.44018 0.142041
2.14783 10.8 -1.32719 0.138321
2.14783 10.85 -1.21417 0.13469
2.14783 10.9 -1.10108 0.13493
2.14783 10.95 -0.987774 0.134901
2.14783 11 -0.874009 0.135599
2.14783 11.05 -0.759349 0.134616
2.14783 11.1 -0.64309 0.132516
2.14783 11.15 -0.524184 0.131955
2.14783 11.2 -0.401244 0.129623
2.14783 11.25 -0.272679 0.122971
2.14783 11.3 -0.137045 0.12119
2.14783 11.35 0.00644825 0.115281
2.14783 11.4 0.157436 0.113814
2.14783 11.45 0.314168 0.110841
2.14783 11.5 0.473689 0.109297
2.14783 11.55 0.63233 0.108465
2.14783 11.6 0.786262 0.111327
2.14783 11.65 0.931909 0.112428
2.14783 11.7 1.06613 0.117904
2.14783 11.75 1.18629 0.120878
2.14783 11.8 1.29015 0.126036
2.14783 11.85 1.37587 0.127191
2.14783 11.9 1.44191 0.12622
2.14783 11.95 1.48703 0.127236
2.14783 12 1.51028 0.12439
2.14783 12.05 1.51108 0.125405
2.14783 12.1 1.48919 0.12586
2.14783 12.15 1.44485 0.130375
2.14783 12.2 1.37878 0.134073
2.14783 12.25 1.2922 0.146735
2.14783 12.3 1.18683 0.172236
2.14783 12.35 1.06468 0.219164
2.14783 12.4 0.927877 0.29695
2.14783 12.45 0.778238 0.385139
2.14783 12.5 0.617011 0.485171
2.14783 12.55 0.444667 0.605239
2.14783 12.6 0.260926 0.733542
2.14783 12.65 0.0649717 0.875873
2.14783 12.7 -0.14426 1.01751
2.14783 12.75 -0.367831 1.17532
2.14783 12.8 -0.606642 1.3345
2.14783 12.85 -0.861381 1.50166
2.14783 12.9 -1.13253 1.6809
2.14783 12.95 -1.42039 1.86993
2.14783 13 -1.72518 2.06694
2.14783 13.05 -2.04701 2.23438
2.14783 13.1 -2.38598 2.49407
2.14783 13.15 -2.74213 2.69884
2.14783 13.2 -3.11552 2.88567
2.14783 13.25 -3.50618 3.04661
2.14783 13.3 -3.91416 3.16639
2.14783 13.35 -4.33949 3.40429
2.14783 13.4 -4.7822 3.57211
2.14783 13.45 -5.24232 3.71189
2.14783 13.5 -5.71989 3.88827
2.14783 13.55 -6.21493 4.11432
2.14783 13.6 -6.72746 4.38296
2.14783 13.65 -7.25753 4.45132
2.14783 13.7 -7.80514 4.64312
2.14783 13.75 -8.37032 4.70594
2.14783 13.8 -8.95309 4.91004
2.14783 13.85 -9.55348 4.92374
2.14783 13.9 -10.1715 4.98027
2.14783 13.95 -10.8072 5.03118
2.14783 14 -11.4606 5.02366
2.14783 14.05 -12.1307 4.93314
2.14783 14.1 -12.8225 4.88286
2.14783 14.15 -13.5178 4.93127
2.14783 14.2 -14.2131 4.9205
2.14783 14.25 0 4.95262
2.14783 14.3 0 4.9418
2.14783 14.35 0 4.95987
2.14783 14.4 0 4.98485
2.14783 14.45 0 4.907
2.14783 14.5 0 4.88731
2.14783 14.55 0 4.86811
2.14783 14.6 0 5.05248
2.14783 14.65 0 5.14216
2.14783 14.7 0 5.07448
2.14783 14.75 0 4.98081
2.14783 14.8 0 4.92364
2.1677 10 -3.13172 0.227261
2.1677 10.05 -3.01871 0.222291
2.1677 10.1 -2.90571 0.216462
2.1677 10.15 -2.7927 0.208206
2.1677 10.2 -2.6797 0.199138
2.1677 10.25 -2.5667 0.191432
2.1677 10.3 -2.4537 0.183899
2.1677 10.35 -2.3407 0.174947
2.1677 10.4 -2.22771 0.170465
2.1677 10.45 -2.11472 0.164855
2.1677 10.5 -2.00174 0.157692
2.1677 10.55 -1.88877 0.15181
2.1677 10.6 -1.77581 0.149122
2.1677 10.65 -1.66286 0.146165
2.1677 10.7 -1.54993 0.145808
2.1677 10.75 -1.43701 0.142468
2.1677 10.8 -1.3241 0.138208
2.1677 10.85 -1.21117 0.135246
2.1677 10.9 -1.09817 0.134905
2.1677 10.95 -0.984986 0.134332
2.1677 11 -0.871382 0.135399
2.1677 11.05 -0.756959 0.134945
2.1677 11.1 -0.641053 0.131655
2.1677 11.15 -0.522671 0.131361
2.1677 11.2 -0.400467 0.130116
2.1677 11.25 -0.272869 0.123938
2.1677 11.3 -0.138389 0.122435
2.1677 11.35 0.0038811 0.1164
2.1677 11.4 0.153756 0.113955
2.1677 11.45 0.309672 0.111372
2.1677 11.5 0.468814 0.109334
2.1677 11.55 0.627577 0.108458
2.1677 11.6 0.782123 0.111128
2.1677 11.65 0.928818 0.113315
2.1677 11.7 1.06446 0.114557
2.1677 11.75 1.18633 0.120573
2.1677 11.8 1.29214 0.124126
2.1677 11.85 1.38001 0.126826
2.1677 11.9 1.44836 0.125908
2.1677 11.95 1.49592 0.12644
2.1677 12 1.52173 0.124962
2.1677 12.05 1.52515 0.124941
2.1677 12.1 1.50591 0.126131
2.1677 12.15 1.46421 0.130786
2.1677 12.2 1.40071 0.134489
2.1677 12.25 1.31657 0.144625
2.1677 12.3 1.21348 0.16921
2.1677 12.35 1.09342 0.214315
2.1677 12.4 0.958518 0.291634
2.1677 12.45 0.810674 0.374539
2.1677 12.5 0.651234 0.472578
2.1677 12.55 0.480784 0.588243
2.1677 12.6 0.299148 0.720696
2.1677 12.65 0.105573 0.860494
2.1677 12.7 -0.100981 1.00559
2.1677 12.75 -0.321583 1.15211
2.1677 12.8 -0.557157 1.31649
2.1677 12.85 -0.808415 1.49421
2.1677 12.9 -1.07586 1.66953
2.1677 12.95 -1.35983 1.85768
2.1677 13 -1.66053 2.02536
2.1677 13.05 -1.97809 2.17952
2.1677 13.1 -2.31261 2.45317
2.1677 13.15 -2.66414 2.69039
2.1677 13.2 -3.03273 2.90792
2.1677 13.25 -3.41843 3.06894
2.1677 13.3 -3.82126 3.15294
2.1677 13.35 -4.24126 3.40169
2.1677 13.4 -4.67847 3.52562
2.1677 13.45 -5.13292 3.672
2.1677 13.5 -5.60464 3.84385
2.1677 13.55 -6.09365 4.05354
2.1677 13.6 -6.59999 4.3687
2.1677 13.65 -7.12368 4.39672
2.1677 13.7 -7.66474 4.63791
2.1677 13.75 -8.22319 4.65293
2.1677 13.8 -8.79906 4.83566
2.1677 13.85 -9.39237 4.96721
2.1677 13.9 -10.0031 4.99501
2.1677 13.95 -10.6314 4.97545
2.1677 14 -11.2771 4.92726
2.1677 14.05 -11.9396 4.97149
2.1677 14.1 -12.6216 4.83907
2.1677 14.15 -13.306 4.91844
2.1677 14.2 -13.9046 4.93443
2.1677 14.25 0 4.95248
2.1677 14.3 0 4.92247
2.1677 14.35 0 5.02467
2.1677 14.4 0 4.94049
2.1677 14.45 0 4.84886
2.1677 14.5 0 4.82881
2.1677 14.55 0 4.82675
2.1677 14.6 0 4.99031
2.1677 14.65 0 5.14853
2.1677 14.7 0 5.11398
2.1677 14.75 0 4.96074
2.1677 14.8 0 4.96403
2.18776 10 -3.12726 0.227184
2.18776 10.05 -3.01433 0.220712
2.18776 10.1 -2.90141 0.215421
2.18776 10.15 -2.78848 0.207589
2.18776 10.2 -2.67556 0.198513
2.18776 10.25 -2.56263 0.191201
2.18776 10.3 -2.44971 0.184398
2.18776 10.35 -2.33679 0.175695
2.18776 10.4 -2.22388 0.171299
2.18776 10.45 -2.11097 0.165176
2.18776 10.5 -1.99807 0.157334
2.18776 10.55 -1.88518 0.151944
2.18776 10.6 -1.77229 0.148829
2.18776 10.65 -1.65942 0.147016
2.18776 10.7 -1.54657 0.145068
2.18776 10.75 -1.43373 0.141297
2.18776 10.8 -1.3209 0.138081
2.18776 10.85 -1.20805 0.135273
2.18776 10.9 -1.09515 0.133852
2.18776 10.95 -0.982073 0.134398
2.18776 11 -0.868625 0.135003
2.18776 11.05 -0.754427 0.135606
2.18776 11.1 -0.638859 0.13173
2.18776 11.15 -0.520975 0.132041
2.18776 11.2 -0.399481 0.130729
2.18776 11.25 -0.272826 0.12548
2.18776 11.3 -0.139489 0.122682
2.18776 11.35 0.00154569 0.117468
2.18776 11.4 0.150262 0.11561
2.18776 11.45 0.305288 0.111633
2.18776 11.5 0.46396 0.11018
2.18776 11.55 0.622746 0.108923
2.18776 11.6 0.777808 0.111326
2.18776 11.65 0.925466 0.11402
2.18776 11.7 1.06245 0.113974
2.18776 11.75 1.18596 0.120529
2.18776 11.8 1.29367 0.124159
2.18776 11.85 1.38365 0.126566
2.18776 11.9 1.45428 0.126046
2.18776 11.95 1.50427 0.126232
2.18776 12 1.53262 0.125812
2.18776 12.05 1.53868 0.123857
2.18776 12.1 1.52214 0.124834
2.18776 12.15 1.48316 0.129682
2.18776 12.2 1.42233 0.133532
2.18776 12.25 1.34079 0.144467
2.18776 12.3 1.24015 0.16657
2.18776 12.35 1.12239 0.208605
2.18776 12.4 0.989632 0.282569
2.18776 12.45 0.843841 0.365275
2.18776 12.5 0.686459 0.461733
2.18776 12.55 0.518189 0.576497
2.18776 12.6 0.338957 0.696781
2.18776 12.65 0.148082 0.837541
2.18776 12.7 -0.0554472 0.988163
2.18776 12.75 -0.2727 1.14326
2.18776 12.8 -0.504622 1.29432
2.18776 12.85 -0.751951 1.47691
2.18776 12.9 -1.01521 1.65225
2.18776 12.95 -1.29476 1.83347
2.18776 13 -1.59082 1.98837
2.18776 13.05 -1.90353 2.17565
2.18776 13.1 -2.23298 2.3988
2.18776 13.15 -2.57923 2.65953
2.18776 13.2 -2.94233 2.85681
2.18776 13.25 -3.32233 3.05269
2.18776 13.3 -3.71925 3.17594
2.18776 13.35 -4.13314 3.29023
2.18776 13.4 -4.56402 3.48791
2.18776 13.45 -5.01194 3.6349
2.18776 13.5 -5.47691 3.81094
2.18776 13.55 -5.95897 4.03192
2.18776 13.6 -6.45814 4.28248
2.18776 13.65 -6.97445 4.45264
2.18776 13.7 -7.50793 4.56524
2.18776 13.75 -8.05859 4.61362
2.18776 13.8 -8.62646 4.75665
2.18776 13.85 -9.21155 4.92277
2.18776 13.9 -9.81388 5.04169
2.18776 13.95 -10.4335 4.96713
2.18776 14 -11.0704 4.95057
2.18776 14.05 -11.7253 5.00518
2.18776 14.1 -12.3987 4.85292
2.18776 14.15 -13.0877 4.8828
2.18776 14.2 -13.8973 4.93424
2.18776 14.25 0 5.00961
2.18776 14.3 0 5.03889
2.18776 14.35 0 4.98894
2.18776 14.4 0 4.95973
2.18776 14.45 0 4.921
2.18776 14.5 0 4.84998
2.18776 14.55 0 4.80435
2.18776 14.6 0 4.88597
2.18776 14.65 0 5.10826
2.18776 14.7 0 5.1239
2.18776 14.75 0 5.02412
2.18776 14.8 0 4.94649
2.208 10 -3.12267 0.227841
2.208 10.05 -3.00982 0.219576
2.208 10.1 -2.89697 0.214385
2.208 10.15 -2.78413 0.207134
2.208 10.2 -2.67128 0.197929
2.208 10.25 -2.55844 0.192409
2.208 10.3 -2.4456 0.184378
2.208 10.35 -2.33276 0.175634
2.208 10.4 -2.21993 0.171355
2.208 10.45 -2.1071 0.165825
2.208 10.5 -1.99428 0.157143
2.208 10.55 -1.88146 0.152021
2.208 10.6 -1.76866 0.149086
2.208 10.65 -1.65587 0.147437
2.208 10.7 -1.54309 0.145149
2.208 10.75 -1.43033 0.140629
2.208 10.8 -1.31757 0.137668
2.208 10.85 -1.20481 0.135815
2.208 10.9 -1.092 0.134387
2.208 10.95 -0.97904 0.135583
2.208 11 -0.865741 0.134579
2.208 11.05 -0.751758 0.135537
2.208 11.1 -0.63651 0.132484
2.208 11.15 -0.519102 0.132171
2.208 11.2 -0.39829 0.130719
2.208 11.25 -0.27255 0.125658
2.208 11.3 -0.140341 0.123436
2.208 11.35 -0.00055131 0.11865
2.208 11.4 0.146968 0.115859
2.208 11.45 0.301036 0.111409
2.208 11.5 0.459146 0.110519
2.208 11.55 0.617856 0.108947
2.208 11.6 0.773339 0.11171
2.208 11.65 0.92187 0.112775
2.208 11.7 1.06011 0.114785
2.208 11.75 1.1852 0.120011
2.208 11.8 1.29475 0.122752
2.208 11.85 1.38679 0.125914
2.208 11.9 1.45966 0.12604
2.208 11.95 1.51206 0.123551
2.208 12 1.54296 0.123839
2.208 12.05 1.55167 0.122009
2.208 12.1 1.53787 0.124681
2.208 12.15 1.50167 0.128422
2.208 12.2 1.44362 0.131775
2.208 12.25 1.3648 0.14406
2.208 12.3 1.26678 0.164846
2.208 12.35 1.1515 0.202386
2.208 12.4 1.02112 0.272712
2.208 12.45 0.877619 0.354346
2.208 12.5 0.722548 0.448111
2.208 12.55 0.55672 0.562984
2.208 12.6 0.380168 0.689657
2.208 12.65 0.192286 0.817316
2.208 12.7 -0.00790012 0.967759
2.208 12.75 -0.221458 1.11779
2.208 12.8 -0.449349 1.27435
2.208 12.85 -0.692338 1.43959
2.208 12.9 -0.950974 1.61605
2.208 12.95 -1.22563 1.798
2.208 13 -1.51653 1.96544
2.208 13.05 -1.82384 2.15405
2.208 13.1 -2.14765 2.37214
2.208 13.15 -2.48801 2.63692
2.208 13.2 -2.84499 2.81833
2.208 13.25 -3.21862 2.97961
2.208 13.3 -3.60893 3.17994
2.208 13.35 -4.01597 3.28036
2.208 13.4 -4.43977 3.47934
2.208 13.45 -4.88035 3.67341
2.208 13.5 -5.33774 3.77542
2.208 13.55 -5.81199 3.94782
2.208 13.6 -6.3031 4.23522
2.208 13.65 -6.81112 4.42289
2.208 13.7 -7.33605 4.46403
2.208 13.75 -7.87793 4.60167
2.208 13.8 -8.43677 4.70975
2.208 13.85 -9.0126 4.88128
2.208 13.9 -9.60544 4.98354
2.208 13.95 -10.2153 5.00309
2.208 14 -10.8421 5.01439
2.208 14.05 -11.486 4.92259
2.208 14.1 -12.148 4.93897
2.208 14.15 -12.8139 4.80549
2.208 14.2 -13.4921 4.96022
2.208 14.25 -14.1879 5.0171
2.208 14.3 0 5.00822
2.208 14.35 0 4.96202
2.208 14.4 0 4.96264
2.208 14.45 0 4.88405
2.208 14.5 0 4.84797
2.208 14.55 0 4.84987
2.208 14.6 0 4.84509
2.208 14.65 0 4.99298
2.208 14.7 0 5.13037
2.208 14.75 0 5.00663
2.22844 10 -3.11793 0.228164
2.22844 10.05 -3.00517 0.2198
2.22844 10.1 -2.8924 0.213365
2.22844 10.15 -2.77964 0.206003
2.22844 10.2 -2.66687 0.198098
2.22844 10.25 -2.55411 0.191347
2.22844 10.3 -2.44135 0.184845
2.22844 10.35 -2.3286 0.175585
2.22844 10.4 -2.21584 0.171006
2.22844 10.45 -2.10309 0.165214
2.22844 10.5 -1.99035 0.158048
2.22844 10.55 -1.87762 0.152232
2.22844 10.6 -1.76489 0.149028
2.22844 10.65 -1.65218 0.146749
2.22844 10.7 -1.53948 0.145176
2.22844 10.75 -1.4268 0.141303
2.22844 10.8 -1.31413 0.138326
2.22844 10.85 -1.20145 0.135636
2.22844 10.9 -1.08873 0.134882
2.22844 10.95 -0.975883 0.135095
2.22844 11 -0.862728 0.134365
2.22844 11.05 -0.74895 0.134533
2.22844 11.1 -0.634006 0.132303
2.22844 11.15 -0.517052 0.13243
2.22844 11.2 -0.396894 0.130602
2.22844 11.25 -0.272042 0.126509
2.22844 11.3 -0.140942 0.122362
2.22844 11.35 -0.00239996 0.119085
2.22844 11.4 0.143889 0.116146
2.22844 11.45 0.296934 0.111548
2.22844 11.5 0.454397 0.110211
2.22844 11.55 0.612933 0.110007
2.22844 11.6 0.768739 0.111463
2.22844 11.65 0.918052 0.111928
2.22844 11.7 1.05747 0.114412
2.22844 11.75 1.18407 0.119101
2.22844 11.8 1.29541 0.121166
2.22844 11.85 1.38945 0.125812
2.22844 11.9 1.46453 0.125015
2.22844 11.95 1.51931 0.123367
2.22844 12 1.55274 0.122874
2.22844 12.05 1.56412 0.122554
2.22844 12.1 1.55309 0.122803
2.22844 12.15 1.51972 0.126426
2.22844 12.2 1.46453 0.131437
2.22844 12.25 1.38855 0.142362
2.22844 12.3 1.2933 0.162631
2.22844 12.35 1.18069 0.197482
2.22844 12.4 1.05287 0.258568
2.22844 12.45 0.911887 0.337113
2.22844 12.5 0.759358 0.43724
2.22844 12.55 0.596212 0.547252
2.22844 12.6 0.422591 0.671246
2.22844 12.65 0.237967 0.801217
2.22844 12.7 0.0414099 0.946431
2.22844 12.75 -0.168141 1.10296
2.22844 12.8 -0.391662 1.25376
2.22844 12.85 -0.629939 1.40357
2.22844 12.9 -0.883547 1.57289
2.22844 12.95 -1.15287 1.75601
2.22844 13 -1.43817 1.94003
2.22844 13.05 -1.73958 2.13251
2.22844 13.1 -2.05723 2.32227
2.22844 13.15 -2.39116 2.59946
2.22844 13.2 -2.74143 2.81655
2.22844 13.25 -3.10808 2.93766
2.22844 13.3 -3.49115 3.1225
2.22844 13.35 -3.89066 3.24757
2.22844 13.4 -4.30667 3.45979
2.22844 13.45 -4.73919 3.66891
2.22844 13.5 -5.18826 3.72432
2.22844 13.55 -5.6539 3.88522
2.22844 13.6 -6.13614 4.15526
2.22844 13.65 -6.63501 4.3441
2.22844 13.7 -7.15052 4.43706
2.22844 13.75 -7.68272 4.61315
2.22844 13.8 -8.2316 4.66822
2.22844 13.85 -8.7972 4.72675
2.22844 13.9 -9.37953 4.92705
2.22844 13.95 -9.97863 4.92431
2.22844 14 -10.5945 5.06268
2.22844 14.05 -11.227 4.93758
2.22844 14.1 -11.8759 4.8871
2.22844 14.15 -12.5434 4.80265
2.22844 14.2 -13.2297 4.86492
2.22844 14.25 -13.88 5.05149
2.22844 14.3 0 4.99206
2.22844 14.35 0 5.10889
2.22844 14.4 0 5.02545
2.22844 14.45 0 4.94216
2.22844 14.5 0 4.80767
2.22844 14.55 0 4.86465
2.22844 14.6 0 4.8074
2.22844 14.65 0 4.97547
2.22844 14.7 0 5.03299
2.22844 14.75 0 5.06018
2.24905 10 -3.11306 0.225896
2.24905 10.05 -3.00038 0.219724
2.24905 10.1 -2.8877 0.212825
2.24905 10.15 -2.77501 0.205648
2.24905 10.2 -2.66233 0.196008
2.24905 10.25 -2.54965 0.190189
2.24905 10.3 -2.43698 0.184016
2.24905 10.35 -2.3243 0.176281
2.24905 10.4 -2.21163 0.170545
2.24905 10.45 -2.09896 0.165014
2.24905 10.5 -1.9863 0.158305
2.24905 10.55 -1.87365 0.151373
2.24905 10.6 -1.76101 0.147349
2.24905 10.65 -1.64838 0.14721
2.24905 10.7 -1.53576 0.144371
2.24905 10.75 -1.42316 0.141244
2.24905 10.8 -1.31057 0.137875
2.24905 10.85 -1.19797 0.135922
2.24905 10.9 -1.08535 0.135102
2.24905 10.95 -0.972603 0.134772
2.24905 11 -0.859588 0.134091
2.24905 11.05 -0.746006 0.134274
2.24905 11.1 -0.631352 0.132488
2.24905 11.15 -0.514829 0.132122
2.24905 11.2 -0.395296 0.130151
2.24905 11.25 -0.271304 0.126359
2.24905 11.3 -0.141292 0.121403
2.24905 11.35 -0.00399559 0.118959
2.24905 11.4 0.141036 0.116881
2.24905 11.45 0.292999 0.113288
2.24905 11.5 0.44973 0.111407
2.24905 11.55 0.607996 0.110722
2.24905 11.6 0.764027 0.110983
2.24905 11.65 0.914032 0.112044
2.24905 11.7 1.05455 0.11364
2.24905 11.75 1.18259 0.117485
2.24905 11.8 1.29564 0.1204
2.24905 11.85 1.39165 0.124954
2.24905 11.9 1.4689 0.125887
2.24905 11.95 1.52602 0.124362
2.24905 12 1.56197 0.1225
2.24905 12.05 1.57602 0.123273
2.24905 12.1 1.56778 0.123336
2.24905 12.15 1.53729 0.126043
2.24905 12.2 1.48504 0.12928
2.24905 12.25 1.41199 0.140211
2.24905 12.3 1.31964 0.158804
2.24905 12.35 1.20986 0.192182
2.24905 12.4 1.08479 0.247433
2.24905 12.45 0.946518 0.326032
2.24905 12.5 0.796739 0.423389
2.24905 12.55 0.636491 0.526746
2.24905 12.6 0.466023 0.652516
2.24905 12.65 0.284894 0.785849
2.24905 12.7 0.0922178 0.919804
2.24905 12.75 -0.113051 1.06506
2.24905 12.8 -0.331901 1.21841
2.24905 12.85 -0.56514 1.36884
2.24905 12.9 -0.813363 1.53028
2.24905 12.95 -1.07698 1.72615
2.24905 13 -1.35625 1.91491
2.24905 13.05 -1.65134 2.12245
2.24905 13.1 -1.96235 2.2821
2.24905 13.15 -2.28935 2.53263
2.24905 13.2 -2.6324 2.76796
2.24905 13.25 -2.99152 2.9253
2.24905 13.3 -3.36677 3.10687
2.24905 13.35 -3.75817 3.19112
2.24905 13.4 -4.16576 3.43515
2.24905 13.45 -4.58957 3.60874
2.24905 13.5 -5.02962 3.74762
2.24905 13.55 -5.48595 3.82269
2.24905 13.6 -5.95859 4.07258
2.24905 13.65 -6.44755 4.28255
2.24905 13.7 -6.95286 4.45693
2.24905 13.75 -7.47455 4.51322
2.24905 13.8 -8.01263 4.58524
2.24905 13.85 -8.56713 4.67195
2.24905 13.9 -9.13806 4.81827
2.24905 13.95 -9.72545 4.86573
2.24905 14 -10.3293 5.01771
2.24905 14.05 -10.9497 5.06623
2.24905 14.1 -11.5868 4.84068
2.24905 14.15 -12.24 4.87887
2.24905 14.2 -12.9216 4.86085
2.24905 14.25 -13.5721 4.98742
2.24905 14.3 -14.1714 4.99354
2.24905 14.35 0 5.04147
2.24905 14.4 0 5.06121
2.24905 14.45 0 4.91821
2.24905 14.5 0 4.893
2.24905 14.55 0 4.86521
2.24905 14.6 0 4.79694
2.24905 14.65 0 4.87909
2.24905 14.7 0 4.97866
2.24905 14.75 0 5.05167
2.26986 10 -3.10805 0.228863
2.26986 10.05 -2.99545 0.218606
2.26986 10.1 -2.88285 0.212802
2.26986 10.15 -2.77025 0.20484
2.26986 10.2 -2.65766 0.195646
2.26986 10.25 -2.54506 0.189301
2.26986 10.3 -2.43247 0.183154
2.26986 10.35 -2.31988 0.177053
2.26986 10.4 -2.20729 0.17037
2.26986 10.45 -2.0947 0.164675
2.26986 10.5 -1.98213 0.158861
2.26986 10.55 -1.86956 0.151479
2.26986 10.6 -1.757 0.146654
2.26986 10.65 -1.64445 0.146442
2.26986 10.7 -1.53191 0.143566
2.26986 10.75 -1.41939 0.140882
2.26986 10.8 -1.30688 0.137236
2.26986 10.85 -1.19437 0.135557
2.26986 10.9 -1.08184 0.135252
2.26986 10.95 -0.969199 0.13304
2.26986 11 -0.856319 0.133638
2.26986 11.05 -0.742924 0.133471
2.26986 11.1 -0.628545 0.132229
2.26986 11.15 -0.512432 0.131562
2.26986 11.2 -0.393497 0.130182
2.26986 11.25 -0.270333 0.126634
2.26986 11.3 -0.141386 0.122156
2.26986 11.35 -0.0053287 0.119857
2.26986 11.4 0.138423 0.117145
2.26986 11.45 0.289251 0.114232
2.26986 11.5 0.445171 0.111955
2.26986 11.55 0.603073 0.109532
2.26986 11.6 0.75923 0.110606
2.26986 11.65 0.909833 0.111906
2.26986 11.7 1.05136 0.113356
2.26986 11.75 1.18077 0.117006
2.26986 11.8 1.29549 0.121085
2.26986 11.85 1.3934 0.123085
2.26986 11.9 1.47277 0.127393
2.26986 11.95 1.53222 0.12519
2.26986 12 1.57067 0.121848
2.26986 12.05 1.58738 0.122462
2.26986 12.1 1.58194 0.122926
2.26986 12.15 1.55437 0.126719
2.26986 12.2 1.50511 0.130094
2.26986 12.25 1.43509 0.140289
2.26986 12.3 1.34575 0.155981
2.26986 12.35 1.23894 0.186852
2.26986 12.4 1.11678 0.238946
2.26986 12.45 0.981397 0.315729
2.26986 12.5 0.834556 0.406987
2.26986 12.55 0.677398 0.51003
2.26986 12.6 0.510281 0.622072
2.26986 12.65 0.332851 0.752281
2.26986 12.7 0.144277 0.889035
2.26986 12.75 -0.0564716 1.04709
2.26986 12.8 -0.270389 1.17293
2.26986 12.85 -0.498304 1.33128
2.26986 12.9 -0.740833 1.50206
2.26986 12.95 -0.998402 1.70423
2.26986 13 -1.27129 1.88084
2.26986 13.05 -1.55966 2.07845
2.26986 13.1 -1.86363 2.2695
2.26986 13.15 -2.18328 2.46926
2.26986 13.2 -2.51864 2.69154
2.26986 13.25 -2.86976 2.90559
2.26986 13.3 -3.23668 3.09498
2.26986 13.35 -3.61943 3.17988
2.26986 13.4 -4.01805 3.40302
2.26986 13.45 -4.43257 3.51055
2.26986 13.5 -4.86301 3.69166
2.26986 13.55 -5.3094 3.83953
2.26986 13.6 -5.77177 4.03308
2.26986 13.65 -6.25015 4.25777
2.26986 13.7 -6.74456 4.39862
2.26986 13.75 -7.25502 4.52626
2.26986 13.8 -7.78156 4.55818
2.26986 13.85 -8.32418 4.60064
2.26986 13.9 -8.88292 4.77585
2.26986 13.95 -9.45779 4.93312
2.26986 14 -10.0488 4.95866
2.26986 14.05 -10.656 5.10751
2.26986 14.1 -11.2795 4.89346
2.26986 14.15 -11.9195 4.84191
2.26986 14.2 -12.5678 4.90723
2.26986 14.25 -13.2643 4.87588
2.26986 14.3 -13.8638 5.02562
2.26986 14.35 0 5.07187
2.26986 14.4 0 5.06901
2.26986 14.45 0 4.88034
2.26986 14.5 0 4.98447
2.26986 14.55 0 4.81487
2.26986 14.6 0 4.92721
2.26986 14.65 0 4.85125
2.26986 14.7 0 4.93266
2.26986 14.75 0 5.00984
2.29087 10 -3.1029 0.230588
2.29087 10.05 -2.99039 0.218488
2.29087 10.1 -2.87787 0.21257
2.29087 10.15 -2.76536 0.204933
2.29087 10.2 -2.65285 0.195347
2.29087 10.25 -2.54033 0.188146
2.29087 10.3 -2.42782 0.183224
2.29087 10.35 -2.31532 0.176275
2.29087 10.4 -2.20281 0.170463
2.29087 10.45 -2.09031 0.164623
2.29087 10.5 -1.97782 0.158507
2.29087 10.55 -1.86533 0.15194
2.29087 10.6 -1.75285 0.146739
2.29087 10.65 -1.64039 0.145421
2.29087 10.7 -1.52793 0.14312
2.29087 10.75 -1.4155 0.141438
2.29087 10.8 -1.30307 0.136502
2.29087 10.85 -1.19065 0.134979
2.29087 10.9 -1.0782 0.135241
2.29087 10.95 -0.96567 0.133042
2.29087 11 -0.852921 0.133681
2.29087 11.05 -0.739705 0.13299
2.29087 11.1 -0.625588 0.132209
2.29087 11.15 -0.509865 0.1314
2.29087 11.2 -0.391501 0.130268
2.29087 11.25 -0.269135 0.127141
2.29087 11.3 -0.141225 0.12355
2.29087 11.35 -0.00639674 0.122376
2.29087 11.4 0.136059 0.116226
2.29087 11.45 0.285704 0.114227
2.29087 11.5 0.440738 0.111541
2.29087 11.55 0.598182 0.109322
2.29087 11.6 0.754369 0.110426
2.29087 11.65 0.905477 0.111223
2.29087 11.7 1.04794 0.112685
