#1+z Log10(Mass/Msun) Star-Forming-Fraction One-sigma-uncertainty
1.03753 13.85 0.0833382 0.0648559
1.03753 13.9 0.0773673 0.0623956
1.03753 13.95 0.0717228 0.0600469
1.03753 14 0.0663957 0.0577933
1.03753 14.05 0.0613767 0.0555315
1.03753 14.1 0.056656 0.0532628
1.03753 14.15 0.0522232 0.0509805
1.03753 14.2 0.0480679 0.0487562
1.03753 14.25 0.0441791 0.046559
1.03753 14.3 0.040546 0.0443606
1.03753 14.35 0.0371574 0.0423096
1.03753 14.4 0.0340022 0.0403158
1.03753 14.45 0.0310693 0.038358
1.03753 14.5 0.0283476 0.0364282
1.03753 14.55 0.0258261 0.0344243
1.03753 14.6 0.0234941 0.0325538
1.03753 14.65 0.0213408 0.0307438
1.03753 14.7 0.0193561 0.0289438
1.03753 14.75 0.0175297 0.0272159
1.03753 14.8 0.0158519 0.0256688
1.03753 14.85 0.0143131 0.0241789
1.03753 14.9 0.0129043 0.0225842
1.03753 14.95 0.0116166 0.0210693
1.03753 15 0.0104415 0.0196591
1.04713 10 0.880084 0.0647028
1.04713 10.05 0.877337 0.0637743
1.04713 10.1 0.874371 0.0620019
1.04713 10.15 0.871173 0.0605573
1.04713 10.2 0.867732 0.059232
1.04713 10.25 0.864035 0.058363
1.04713 10.3 0.86007 0.0565537
1.04713 10.35 0.855826 0.0546783
1.04713 10.4 0.851291 0.0529001
1.04713 10.45 0.846454 0.0517526
1.04713 10.5 0.841303 0.0502104
1.04713 10.55 0.835828 0.0495046
1.04713 10.6 0.830019 0.0478461
1.04713 10.65 0.823867 0.0462575
1.04713 10.7 0.817361 0.0450479
1.04713 10.75 0.810495 0.0440038
1.04713 10.8 0.803261 0.0420525
1.04713 10.85 0.795654 0.0413015
1.04713 10.9 0.787666 0.0404385
1.04713 10.95 0.779296 0.0390261
1.04713 11 0.770539 0.0376056
1.04713 11.05 0.761395 0.0365739
1.04713 11.1 0.751862 0.0353709
1.04713 11.15 0.741942 0.0341806
1.04713 11.2 0.731637 0.0329458
1.04713 11.25 0.720952 0.0315836
1.04713 11.3 0.709892 0.0306376
1.04713 11.35 0.698463 0.0293338
1.04713 11.4 0.686675 0.0287736
1.04713 11.45 0.674538 0.0282107
1.04713 11.5 0.662063 0.0276914
1.04713 11.55 0.649264 0.0267116
1.04713 11.6 0.636155 0.0265196
1.04713 11.65 0.622753 0.0265571
1.04713 11.7 0.609075 0.0272394
1.04713 11.75 0.59514 0.0287928
1.04713 11.8 0.580969 0.0300342
1.04713 11.85 0.566582 0.0316093
1.04713 11.9 0.552004 0.0335963
1.04713 11.95 0.537256 0.0354522
1.04713 12 0.522363 0.0382935
1.04713 12.05 0.507352 0.0406129
1.04713 12.1 0.492246 0.0423269
1.04713 12.15 0.477073 0.0453218
1.04713 12.2 0.461859 0.0489548
1.04713 12.25 0.446631 0.0514995
1.04713 12.3 0.431416 0.0551324
1.04713 12.35 0.416241 0.0581091
1.04713 12.4 0.401132 0.0617835
1.04713 12.45 0.386116 0.0653617
1.04713 12.5 0.371218 0.0682599
1.04713 12.55 0.356464 0.0707074
1.04713 12.6 0.341878 0.0732392
1.04713 12.65 0.327483 0.0751861
1.04713 12.7 0.313303 0.0769429
1.04713 12.75 0.299358 0.0783109
1.04713 12.8 0.285669 0.0803697
1.04713 12.85 0.272256 0.0823801
1.04713 12.9 0.259134 0.0837786
1.04713 12.95 0.246322 0.0846013
1.04713 13 0.233834 0.0846799
1.04713 13.05 0.221682 0.0842916
1.04713 13.1 0.20988 0.0844127
1.04713 13.15 0.198437 0.0842728
1.04713 13.2 0.187361 0.0839703
1.04713 13.25 0.176661 0.0834407
1.04713 13.3 0.16634 0.0826486
1.04713 13.35 0.156405 0.081321
1.04713 13.4 0.146856 0.079864
1.04713 13.45 0.137696 0.078416
1.04713 13.5 0.128923 0.0768201
1.04713 13.55 0.120537 0.0751742
1.04713 13.6 0.112534 0.0734751
1.04713 13.65 0.104911 0.0714913
1.04713 13.7 0.0976624 0.0693276
1.04713 13.75 0.0907816 0.067044
1.04713 13.8 0.0842617 0.0648416
1.04713 13.85 0.0780947 0.0625174
1.04713 13.9 0.0722718 0.0600703
1.04713 13.95 0.0667835 0.0578218
1.04713 14 0.0616198 0.0553783
1.04713 14.05 0.0567699 0.0531353
1.04713 14.1 0.052223 0.0508013
1.04713 14.15 0.0479675 0.0484102
1.04713 14.2 0.0439919 0.0463482
1.04713 14.25 0.0402842 0.0442079
1.04713 14.3 0.0368326 0.0421064
1.04713 14.35 0.033625 0.0399985
1.04713 14.4 0.0306495 0.0379381
1.04713 14.45 0.0278941 0.0359229
1.04713 14.5 0.025347 0.0339854
1.04713 14.55 0.0229967 0.0320891
1.04713 14.6 0.0208318 0.0302188
1.04713 14.65 0.0188412 0.0284014
1.04713 14.7 0.017014 0.0267383
1.04713 14.75 0.0153399 0.0249823
1.04713 14.8 0.0138087 0.0233109
1.04713 14.85 0.0124107 0.0217232
1.04713 14.9 0.0111365 0.0202559
1.04713 14.95 0.00997732 0.0189763
1.04713 15 0.00892453 0.0177585
1.05682 10 0.884536 0.0642889
1.05682 10.05 0.881924 0.0633388
1.05682 10.1 0.879091 0.0618884
1.05682 10.15 0.876027 0.060478
1.05682 10.2 0.872718 0.0588793
1.05682 10.25 0.869152 0.0574564
1.05682 10.3 0.865315 0.0563587
1.05682 10.35 0.861194 0.0545673
1.05682 10.4 0.856777 0.0530416
1.05682 10.45 0.852051 0.0508693
1.05682 10.5 0.847005 0.0498846
1.05682 10.55 0.841625 0.0490904
1.05682 10.6 0.835902 0.047218
1.05682 10.65 0.829824 0.0460171
1.05682 10.7 0.82338 0.0444869
