#Total_Obs_CSFR: total observed cosmic star formation rate (Msun/yr/Mpc^3)
#Total_Obs_CSFR_UV: total observed cosmic star formation rate (Msun/yr/Mpc^3) for galaxies with M_1500 < -17
#True_CSFR: total true cosmic star formation rate (Msun/yr/Mpc^3)
#Scale Total_Obs_CSFR Err+ Err- Total_Obs_CSFR_UV Err+ Err- True_CSFR Err+ Err-
0.364435 0.131257 0.0131068 0.00500226 0.127452 0.0124159 0.00428203 0.108699 0.0297201 0.0239873
0.369497 0.130779 0.0129556 0.0045481 0.127002 0.0121867 0.00436766 0.108972 0.0296033 0.0240425
0.37456 0.129881 0.0128386 0.00436281 0.12614 0.0118154 0.00466542 0.108969 0.0292691 0.0240904
0.379622 0.129032 0.0125065 0.00402455 0.12533 0.0116366 0.00448499 0.109068 0.0295279 0.0241442
0.384685 0.12746 0.0120017 0.00384985 0.123787 0.0113789 0.00412297 0.108604 0.0297466 0.0239543
0.389747 0.12638 0.0116508 0.00367376 0.122743 0.0110804 0.00355943 0.108596 0.0295659 0.0241691
0.39481 0.124814 0.0112128 0.00373736 0.121211 0.0105694 0.00356012 0.108199 0.0293091 0.0244148
0.399872 0.123307 0.0107212 0.00359501 0.119743 0.0100234 0.00340626 0.10787 0.0286325 0.0245059
0.404935 0.121527 0.0100959 0.00378649 0.118002 0.00965093 0.00363407 0.107311 0.0283301 0.0243966
0.409997 0.119644 0.00961984 0.00343909 0.116158 0.00951923 0.00342387 0.106659 0.0279446 0.0239647
0.41506 0.11771 0.00927168 0.00340666 0.114262 0.00902477 0.00322716 0.105953 0.0279048 0.0235109
0.420122 0.115761 0.00891271 0.00336832 0.112352 0.00836322 0.00331771 0.105219 0.0268946 0.0235501
0.425185 0.113914 0.00866024 0.00336649 0.110534 0.00836255 0.00318107 0.104561 0.0267438 0.0237474
0.430247 0.112157 0.0083483 0.00344841 0.10881 0.00802172 0.00343014 0.103963 0.025739 0.0232122
0.43531 0.109973 0.00801437 0.0033254 0.106667 0.00784773 0.00348282 0.102942 0.0253533 0.0225754
0.440372 0.107956 0.00784566 0.00305569 0.104687 0.00782172 0.00295107 0.102044 0.0249982 0.0219946
0.445435 0.105814 0.00759345 0.00297196 0.102579 0.0076588 0.00296183 0.100992 0.0248222 0.0215988
0.450497 0.10368 0.00737565 0.00286174 0.100483 0.00717431 0.00266093 0.0999089 0.02497 0.0214322
0.45556 0.101595 0.00701001 0.00255079 0.0984257 0.00670202 0.00265401 0.0988324 0.0248482 0.0212016
0.460622 0.0995008 0.00695683 0.00210096 0.0963629 0.0067219 0.00223432 0.0977047 0.0245341 0.0210772
0.465685 0.097237 0.00668844 0.00225507 0.0941353 0.00636325 0.00233003 0.096366 0.0241663 0.0211014
0.470747 0.0952043 0.00637187 0.00214194 0.092132 0.00619943 0.00250022 0.0952102 0.0237902 0.0211778
0.47581 0.0931903 0.0061397 0.00211649 0.0901501 0.00593427 0.00231698 0.0940294 0.0236134 0.0212488
0.480872 0.0911173 0.00588339 0.00212163 0.0881066 0.005786 0.00236958 0.0927442 0.0230675 0.0212821
0.485935 0.0891284 0.00603097 0.00206993 0.0861458 0.00579077 0.00234968 0.0914997 0.0219216 0.0212447
0.490997 0.0870393 0.00571289 0.00208809 0.0840831 0.00552866 0.00230296 0.0901067 0.0206849 0.0212141
0.49606 0.0849339 0.00558981 0.00193595 0.0820065 0.00547884 0.00192725 0.0886505 0.0205406 0.020871
0.501122 0.0828808 0.0054371 0.00197857 0.0799788 0.00539065 0.00184146 0.0872027 0.0203539 0.0203423
0.506185 0.0808812 0.00528298 0.00185644 0.078003 0.00506669 0.00199266 0.0857664 0.019768 0.0198628
0.511247 0.0789312 0.00533528 0.00190671 0.0760783 0.00490104 0.00187931 0.0843389 0.0197774 0.0197751
0.51631 0.0769641 0.00527679 0.00197198 0.0741337 0.00495253 0.00182805 0.0828499 0.0196463 0.0193376
0.521372 0.0750413 0.00493483 0.00192569 0.0722267 0.0046889 0.00179153 0.0813665 0.0196367 0.0192144
0.526435 0.0731472 0.00493314 0.00189355 0.0703555 0.00469722 0.00169485 0.0798731 0.0195625 0.0188436
0.531497 0.0712904 0.00464442 0.00185693 0.0685212 0.00444138 0.00164803 0.0783808 0.0191727 0.018433
0.53656 0.0694148 0.00441901 0.00169172 0.0666664 0.00428841 0.00160019 0.0768286 0.0187465 0.0180276
0.541622 0.0677134 0.00427043 0.00151378 0.0649842 0.00422299 0.00145854 0.075432 0.0183745 0.017654
0.546685 0.065918 0.00419767 0.00147186 0.0632149 0.00412401 0.00136509 0.073895 0.0181713 0.0171818
0.551747 0.0642063 0.00418173 0.00145793 0.0615218 0.0040071 0.00139444 0.0724167 0.0182597 0.0168725
0.55681 0.0624873 0.00403557 0.00141496 0.0598219 0.0039414 0.00135314 0.0708964 0.0178275 0.0164278
0.561872 0.0607995 0.00420691 0.00139868 0.0581557 0.00409084 0.00122189 0.0693789 0.0174006 0.0160124
0.566935 0.0590998 0.00428725 0.00133916 0.0564744 0.00407677 0.00124426 0.0678159 0.0169347 0.0155836
0.571997 0.0576109 0.00413637 0.00128601 0.0549922 0.00397843 0.00129851 0.0664653 0.0165586 0.015611
0.57706 0.0560305 0.00418257 0.00117104 0.0534257 0.00392131 0.00115038 0.0649812 0.0147214 0.0153157
0.582123 0.0545116 0.00405443 0.00111878 0.0519222 0.00386855 0.00103289 0.0635408 0.0142568 0.0149143
0.587185 0.0530099 0.00417951 0.00101778 0.0504365 0.00387915 0.000938668 0.0620943 0.0138811 0.0145544
0.592248 0.0515744 0.00418775 0.000983755 0.0490182 0.00387942 0.000886593 0.0607005 0.0134869 0.0141254
0.59731 0.0501206 0.00416925 0.000792535 0.0475822 0.00387596 0.000740253 0.0592612 0.0130189 0.0137467
0.602373 0.0488242 0.00408257 0.000772029 0.0462964 0.00379525 0.000720386 0.0579856 0.0126449 0.0134266
0.607435 0.0474842 0.00401402 0.000669775 0.0449716 0.00369557 0.000635153 0.0566368 0.0124106 0.0131077
0.612498 0.046177 0.00402972 0.000645391 0.0436758 0.00377733 0.000569323 0.0553069 0.0122013 0.0127541
0.61756 0.0448903 0.00404287 0.000574208 0.0424046 0.00383943 0.000643957 0.0539822 0.0119101 0.0124573
0.622623 0.0436305 0.00398426 0.000526264 0.0411387 0.00382913 0.000587528 0.0522011 0.0122179 0.0117169
0.627685 0.0423982 0.00395512 0.00059569 0.0398976 0.00377118 0.000499434 0.0503944 0.0123967 0.0108794
0.632748 0.0412994 0.0039513 0.000574669 0.0387863 0.00381524 0.000496486 0.0487501 0.0123702 0.0100379
0.63781 0.040205 0.00395535 0.000514235 0.0376849 0.00377294 0.00040112 0.0471808 0.0124727 0.00932891
0.642873 0.0391806 0.00395735 0.000527609 0.0366515 0.00370483 0.000414675 0.0456611 0.0126297 0.00898513
0.647935 0.0380875 0.00380643 0.000524727 0.0355508 0.00370028 0.000439372 0.0441633 0.0127213 0.00848895
0.652998 0.0371382 0.00364924 0.000497167 0.0345992 0.00368718 0.000403107 0.0427531 0.0127479 0.00806086
0.65806 0.0362524 0.00370527 0.000455287 0.0337017 0.00376447 0.000339992 0.0415095 0.0129777 0.00753517
0.663123 0.0352045 0.00367178 0.000436215 0.0326495 0.0037358 0.000266503 0.0401403 0.0128484 0.00701747
0.668185 0.0343272 0.00366918 0.000408455 0.0317601 0.00366888 0.000235429 0.0389622 0.0128664 0.00658325
0.673248 0.0333842 0.00360629 0.000395759 0.0308132 0.00361254 0.000286266 0.0376846 0.0125461 0.00627034
0.67831 0.0325932 0.00353569 0.000473889 0.0300162 0.00345935 0.000353039 0.0365809 0.0126348 0.00606003
0.683373 0.0317994 0.00353741 0.000478581 0.0294841 0.00345924 0.000426506 0.0355003 0.0126627 0.00587081
0.690967 0.0306149 0.00338918 0.000531154 0.0280172 0.00341149 0.000399429 0.0340053 0.0125734 0.00556649
0.69856 0.0294762 0.00330358 0.000497243 0.0268681 0.00334298 0.000347623 0.0325395 0.0120305 0.00520064
0.706154 0.0284082 0.00324289 0.000493719 0.0257936 0.00318987 0.000285389 0.0311363 0.0118823 0.00489018
0.713748 0.0273334 0.00323354 0.000461435 0.0247114 0.0031635 0.000165326 0.0298736 0.0115441 0.00462768
0.721342 0.0263853 0.00320335 0.000420401 0.0237581 0.00315457 0.000166055 0.0286788 0.011249 0.00431545
0.728935 0.02548 0.00314942 0.000448901 0.0228518 0.00320326 0.000209814 0.0275898 0.0110043 0.00404113
