#Model: 0.104160800000 1.830857660000 -0.278375930000 2.482630900000 2.060239220000 0.322896640000 -0.099136200000 0.696256730000 -6.783021920000 -0.740212860000 -0.243005030000 2.357406780000 -0.670161000000 0.032409440000 0.705463040000 0.078203160000 -1.313028390000 3.345707840000 -0.969087940000 -0.340795970000 1.677667720000 0.422031030000 3.105399340000 0.361458860000 2.955837030000 -0.110232830000 4.023850140000 2.321001140000 -0.161718440000 0.208850790000 0.446655700000 -1.141828020000 1.067118400000 0.102460660000 -0.229540280000 0.209918420000 0.070000000000 0.040711970000 -0.160329600000 -0.125858630000 0.332955620000 8.977376730000 -0.043766440000 0.426113490000 0.600463510000 0 356.934366097907
#Type Subtype Z1 Z2 step1 step2 SM1 SM2 smb1 smb2 R1 R2 Val Err_h Err_l Model_Val MV+ MV- Chi2 Chi2+ Chi2-
ssfr a 1.000000 1.500000 79 99 10.600000 10.800000 72 76 0.000000 0.000000 -9.160000e+00 0.280179 0.280179 -9.187731e+00 2.795068e-02 3.479834e-02 7.614616e-04 0.000000e+00 0.000000e+00
ssfr a 1.000000 1.500000 79 99 10.800000 11.000000 76 80 0.000000 0.000000 -9.260000e+00 0.280179 0.280179 -9.368010e+00 2.674702e-02 5.032107e-02 9.867186e-02 0.000000e+00 0.000000e+00
ssfr a 1.000000 1.500000 79 99 11.000000 11.200000 80 84 0.000000 0.000000 -9.470000e+00 0.280179 0.280179 -9.576579e+00 3.288564e-02 7.403130e-02 9.548914e-02 0.000000e+00 0.000000e+00
ssfr a 1.000000 1.500000 79 99 11.200000 11.400000 84 88 0.000000 0.000000 -9.530000e+00 0.280179 0.280179 -9.822896e+00 4.627980e-02 1.296837e-01 9.486874e-01 0.000000e+00 0.000000e+00
qf_uvj a 2.000000 2.500000 56 66 11.600000 11.700000 92 94 0.000000 0.000000 2.500000e-01 0.428117 0.250200 3.645025e-01 1.200563e-01 1.456081e-02 7.697785e-02 0.000000e+00 0.000000e+00
qf_uvj a 2.000000 2.500000 56 66 11.500000 11.600000 90 92 0.000000 0.000000 1.430000e-01 0.209239 0.143349 3.567084e-01 1.087616e-01 8.456737e-03 8.813402e-01 0.000000e+00 0.000000e+00
qf_uvj a 2.000000 2.500000 56 66 11.450000 11.550000 89 91 0.000000 0.000000 6.000000e-01 0.400125 0.600083 3.485174e-01 9.987284e-02 -3.741936e-03 1.933816e-01 0.000000e+00 0.000000e+00
qf_uvj a 2.000000 2.500000 56 66 11.350000 11.450000 87 89 0.000000 0.000000 4.000000e-01 0.217230 0.255196 3.742696e-01 5.394742e-02 2.272457e-02 5.938735e-04 0.000000e+00 0.000000e+00
qf_uvj a 2.000000 2.500000 56 66 11.250000 11.350000 85 87 0.000000 0.000000 2.740000e-01 0.125399 0.133375 3.401175e-01 6.528555e-02 6.821901e-03 1.301300e-01 0.000000e+00 0.000000e+00
qf_uvj a 2.000000 2.500000 56 66 11.150000 11.250000 83 85 0.000000 0.000000 1.490000e-01 0.106471 0.068731 3.261067e-01 5.286816e-02 3.902159e-03 2.177355e+00 0.000000e+00 0.000000e+00
qf_uvj a 2.000000 2.500000 56 66 11.050000 11.150000 81 83 0.000000 0.000000 2.370000e-01 0.078638 0.078638 3.231779e-01 3.361324e-02 1.446850e-02 7.081999e-01 0.000000e+00 0.000000e+00
qf_uvj a 2.000000 2.500000 56 66 10.950000 11.050000 79 81 0.000000 0.000000 2.790000e-01 0.071701 0.076655 2.976687e-01 2.668903e-02 1.229325e-02 0.000000e+00 0.000000e+00 0.000000e+00
qf_uvj a 2.000000 2.500000 56 66 10.850000 10.950000 77 79 0.000000 0.000000 1.810000e-01 0.075664 0.050990 2.713247e-01 2.850075e-02 1.121912e-02 8.881029e-01 0.000000e+00 0.000000e+00
qf_uvj a 2.000000 2.500000 56 66 10.800000 10.900000 76 78 0.000000 0.000000 2.450000e-01 0.055902 0.056886 2.620039e-01 2.524753e-02 1.512304e-02 0.000000e+00 0.000000e+00 0.000000e+00
qf_uvj a 2.000000 2.500000 56 66 10.700000 10.800000 74 76 0.000000 0.000000 2.490000e-01 0.053935 0.051971 2.357903e-01 2.946345e-02 1.344235e-02 0.000000e+00 0.000000e+00 0.000000e+00
qf_uvj a 2.000000 2.500000 56 66 10.600000 10.700000 72 74 0.000000 0.000000 2.390000e-01 0.054918 0.051971 2.172369e-01 2.507619e-02 1.711380e-02 1.091907e-03 0.000000e+00 0.000000e+00
