#Peak halo mass range: 9.875 < log10(Mh/Msun) < 10.125
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Halos_Remaining Bestfit_Q_Halos_Remaining
0.440372 3.00326e-05 0.0314048 1.05558e-05 6.09693e-05 0.049166 2.84684e-05 2.53058e+06 475649
0.435310 3.12181e-05 0.0314795 1.54763e-05 4.20478e-05 0.0501394 1.52823e-05 2.53058e+06 475649
0.430247 2.52906e-05 0.0312479 1.04677e-05 4.62526e-05 0.0496286 1.9729e-05 2.53058e+06 475649
0.425185 2.76616e-05 0.0316874 1.23585e-05 4.8355e-05 0.0479786 2.82717e-05 2.53058e+06 475649
0.420122 2.56858e-05 0.0318734 1.20419e-05 4.20478e-05 0.0473249 2.09876e-05 2.53058e+06 475649
0.415060 2.6081e-05 0.0315664 1.05068e-05 4.20478e-05 0.047485 2.49959e-05 2.53058e+06 475649
0.409997 2.41051e-05 0.0310121 1.06216e-05 3.15359e-05 0.0476065 1.49611e-05 2.53058e+06 475649
0.404935 2.17341e-05 0.0303232 1.00535e-05 2.31263e-05 0.0474377 1.16392e-05 2.53058e+06 475649
0.399872 2.01535e-05 0.0299132 9.25862e-06 2.52287e-05 0.0479865 1.28273e-05 2.53058e+06 475649
0.394810 1.81776e-05 0.0297498 7.71003e-06 2.31263e-05 0.0479736 9.72432e-06 2.53058e+06 475649
0.389747 1.8968e-05 0.029515 9.60223e-06 2.94335e-05 0.0478819 1.38756e-05 2.53058e+06 475649
0.384685 1.69921e-05 0.0289681 8.47783e-06 1.68191e-05 0.0466021 8.74525e-06 2.53058e+06 475649
0.379622 1.30405e-05 0.0291794 6.87993e-06 1.47167e-05 0.0449411 3.66692e-06 2.53058e+06 475649
0.374560 1.06695e-05 0.0292273 5.03305e-06 2.94335e-05 0.0443919 1.59735e-05 2.53058e+06 475649
0.369497 1.10647e-05 0.0295078 6.28017e-06 2.10239e-05 0.0432081 8.59287e-06 2.53058e+06 475649
0.364435 7.90332e-06 0.0298966 4.71307e-06 1.89215e-05 0.0417669 7.25284e-06 2.53058e+06 475649
0.359372 6.32266e-06 0.0300678 3.39161e-06 1.68191e-05 0.041721 7.04744e-06 2.53058e+06 475649
0.354310 4.74199e-06 0.0299587 1.40893e-06 1.89215e-05 0.0410237 1.01274e-05 2.53058e+06 475649
0.349247 3.95166e-06 0.0295136 1.40701e-06 1.0512e-05 0.040015 5.52455e-06 2.53058e+06 475649
0.344185 3.16133e-06 0.0291431 1.14692e-06 1.0512e-05 0.0387772 4.11181e-06 2.53058e+06 475649
0.339122 3.16133e-06 0.0287325 1.52039e-06 1.0512e-05 0.0386044 2.26054e-06 2.53058e+06 475649
