#Observed stellar mass range: 7.6 < log10(M*/Msun) < 7.8
#Quenched: SFR / SM < 1e-11 / yr
#Galaxies at z=0 are selected as quenched via observed SSFR.
#Quenching histories are based on true SSFR.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Galaxies_Remaining Bestfit_Q_Galaxies_Remaining
0.415060 1.11392e-05 0.0217365 3.00485e-06 1.04592e-05 0.0344428 2.17429e-06 448864 95610
0.409997 8.91139e-06 0.0218231 2.03126e-07 1.04592e-05 0.0340152 1.04592e-05 448864 95610
0.404935 1.33671e-05 0.0217041 5.37558e-06 1.04592e-05 0.032717 2.53454e-06 448864 95610
0.399872 1.55949e-05 0.0219331 8.54797e-06 2.09183e-05 0.0324945 1.4597e-05 448864 95610
0.394810 1.78228e-05 0.0221922 9.22897e-06 4.18366e-05 0.0320457 3.16573e-05 448864 95610
0.389747 1.55949e-05 0.0221741 6.8308e-06 5.22958e-05 0.031322 4.0554e-05 448864 95610
0.384685 1.55949e-05 0.0225201 5.46807e-06 4.18366e-05 0.0310581 3.03391e-05 448864 95610
0.379622 1.11392e-05 0.0230011 5.41003e-06 5.22958e-05 0.0311848 4.1716e-05 448864 95610
0.374560 1.11392e-05 0.0232544 2.54543e-06 6.27549e-05 0.0302475 4.69219e-05 448864 95610
0.369497 1.78228e-05 0.0235229 8.58468e-06 8.36733e-05 0.0303228 6.67199e-05 448864 95610
0.364435 1.33671e-05 0.0233989 6.93694e-06 6.27549e-05 0.0296759 5.15749e-05 448864 95610
0.359372 8.91139e-06 0.0238276 7.77006e-07 5.22958e-05 0.0301761 4.2839e-05 448864 95610
0.354310 1.55949e-05 0.0240562 6.35684e-06 5.22958e-05 0.0315859 4.25876e-05 448864 95610
0.349247 1.78228e-05 0.0242869 8.10471e-06 2.09183e-05 0.0318398 1.18588e-05 448864 95610
0.344185 1.55949e-05 0.0247113 6.48003e-06 1.04592e-05 0.0317316 1.04592e-05 448864 95610
0.339122 1.11392e-05 0.0250294 2.957e-06 4.18366e-05 0.0323086 3.55443e-05 448864 95610
0.334060 1.33671e-05 0.0254655 5.58992e-06 3.13775e-05 0.0323488 2.3749e-05 448864 95610
0.328997 8.91139e-06 0.0257456 2.28884e-06 4.18366e-05 0.0323086 3.15696e-05 448864 95610
0.323935 4.45569e-06 0.0264032 0 2.09183e-05 0.033042 1.04888e-05 448864 95610
0.318873 8.91139e-06 0.0262058 4.36459e-06 3.13775e-05 0.0324521 1.87856e-05 448864 95610
0.313810 6.68354e-06 0.0265262 1.33639e-06 2.09183e-05 0.0322126 1.14183e-05 448864 95610
0.308748 8.91139e-06 0.0277674 3.56424e-06 3.13775e-05 0.0321226 2.17734e-05 448864 95610
0.303685 1.33671e-05 0.0286862 5.59523e-06 3.13775e-05 0.0319491 2.14439e-05 448864 95610
0.298623 1.33671e-05 0.0284104 5.18484e-06 5.22958e-05 0.0323748 3.84454e-05 448864 95610
0.293560 4.45569e-06 0.0285256 -1.49124e-06 5.22958e-05 0.0328501 4.20034e-05 448864 95610
