#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 14.25 - 14.75
#HM   Stats: 3.011760e+14 (median) + 2.055890e+14  / - 1.198520e+14
#SM   Stats: 3.629570e+11 (median) + 3.100210e+11  / - 2.356420e+11
#VMP  Stats: 8.801600e+02 (median) + 2.521401e+02  / - 7.417999e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.617667e-11 (median) + 4.775797e-11  / - 5.742535e-12
sfh 0.39481 46.1711 16.6907 42.287 #avg: 35.7568; avg_err: 10.1037; sd: 22.5926; counts: 6
sfh 0.399872 48.3551 24.6976 44.3824 #avg: 35.1263; avg_err: 11.1474; sd: 24.9264; counts: 6
sfh 0.404935 37.6976 19.2622 34.0544 #avg: 27.7689; avg_err: 8.2065; sd: 18.3503; counts: 6
sfh 0.409997 26.418 32.0335 17.3324 #avg: 28.9339; avg_err: 7.03886; sd: 15.7394; counts: 6
sfh 0.41506 35.5526 16.7318 26.6855 #avg: 29.3906; avg_err: 6.28669; sd: 14.0575; counts: 6
sfh 0.420122 35.8105 22.206 31.8753 #avg: 26.8385; avg_err: 8.99638; sd: 20.1165; counts: 6
sfh 0.425185 37.7633 49.6216 34.1216 #avg: 29.9021; avg_err: 13.312; sd: 29.7665; counts: 6
sfh 0.430247 39.7847 77.8823 36.1522 #avg: 35.3455; avg_err: 18.0213; sd: 40.2968; counts: 6
sfh 0.43531 41.1064 80.7626 37.3829 #avg: 38.2404; avg_err: 18.1195; sd: 40.5164; counts: 6
sfh 0.440372 34.5061 68.2499 30.6438 #avg: 31.6799; avg_err: 15.7083; sd: 35.1248; counts: 6
sfh 0.445435 23.8081 79.0729 20.0469 #avg: 31.7636; avg_err: 15.1765; sd: 33.9357; counts: 6
sfh 0.450497 23.4116 88.2794 19.8198 #avg: 33.4098; avg_err: 16.3857; sd: 36.6396; counts: 6
sfh 0.45556 23.8499 102.781 20.1037 #avg: 35.9829; avg_err: 18.7661; sd: 41.9622; counts: 6
sfh 0.460622 20.1569 105.309 16.2346 #avg: 34.369; avg_err: 18.7435; sd: 41.9118; counts: 6
sfh 0.465685 18.965 75.8017 15.1724 #avg: 29.4158; avg_err: 13.9388; sd: 31.1681; counts: 6
sfh 0.470747 16.92 79.7124 13.2879 #avg: 28.6412; avg_err: 14.6999; sd: 32.8699; counts: 6
sfh 0.47581 13.1139 67.6309 9.39254 #avg: 24.521; avg_err: 12.1513; sd: 27.1711; counts: 6
sfh 0.480872 20.5563 51.9501 16.5342 #avg: 24.9085; avg_err: 10.7499; sd: 24.0375; counts: 6
sfh 0.485935 13.6502 24.967 9.53586 #avg: 17.5807; avg_err: 6.00891; sd: 13.4363; counts: 6
sfh 0.490997 13.4424 26.2286 9.76222 #avg: 18.6316; avg_err: 6.58985; sd: 14.7354; counts: 6
sfh 0.49606 11.7393 32.422 5.19615 #avg: 18.4814; avg_err: 6.62061; sd: 14.8041; counts: 6
sfh 0.501122 13.8676 38.4251 7.0039 #avg: 19.9268; avg_err: 7.57793; sd: 16.9448; counts: 6
sfh 0.506185 21.4754 20.3251 15.3135 #avg: 19.2342; avg_err: 6.21121; sd: 13.8887; counts: 6
sfh 0.511247 22.3616 10.8967 16.5803 #avg: 17.725; avg_err: 5.46529; sd: 12.2207; counts: 6
sfh 0.51631 21.4356 17.0521 15.4933 #avg: 18.503; avg_err: 5.99072; sd: 13.3957; counts: 6
sfh 0.521372 17.8121 12.4733 12.1436 #avg: 15.7027; avg_err: 4.49548; sd: 10.0522; counts: 6
sfh 0.526435 12.8431 20 7.78813 #avg: 15.9617; avg_err: 5.22618; sd: 11.6861; counts: 6
sfh 0.531497 10.3412 29.4622 5.20659 #avg: 16.3928; avg_err: 6.15305; sd: 13.7586; counts: 6
sfh 0.53656 23.5241 12.878 17.9675 #avg: 18.1345; avg_err: 5.63273; sd: 12.5952; counts: 6
sfh 0.541622 22.2572 17.3384 16.5963 #avg: 18.6286; avg_err: 5.94896; sd: 13.3023; counts: 6
sfh 0.546685 17.278 22.23 12.6076 #avg: 17.3908; avg_err: 5.77563; sd: 12.9147; counts: 6
sfh 0.551747 7.55003 32.5998 3.93589 #avg: 15.3892; avg_err: 6.52876; sd: 14.5987; counts: 6
sfh 0.55681 6.51108 34.2608 3.96565 #avg: 15.0927; avg_err: 6.71656; sd: 15.0187; counts: 6
sfh 0.561872 6.98325 28.3129 4.9498 #avg: 14.6629; avg_err: 6.05758; sd: 13.5452; counts: 6
sfh 0.566935 9.42885 20.826 7.18177 #avg: 13.4769; avg_err: 4.63916; sd: 10.3735; counts: 6
sfh 0.571997 9.38936 19.8211 7.13338 #avg: 12.8051; avg_err: 4.23606; sd: 9.47212; counts: 6
sfh 0.57706 8.04837 20.6473 5.83053 #avg: 12.3182; avg_err: 4.27317; sd: 9.5551; counts: 6
sfh 0.582123 11.1725 16.6056 8.63426 #avg: 12.5956; avg_err: 3.98845; sd: 8.91845; counts: 6
sfh 0.587185 11.4851 14.8658 8.78211 #avg: 12.2477; avg_err: 3.69571; sd: 8.26387; counts: 6
sfh 0.592248 12.2006 14.1688 9.53235 #avg: 12.2468; avg_err: 3.67752; sd: 8.22318; counts: 6
sfh 0.59731 16.4786 7.7361 13.7164 #avg: 12.6556; avg_err: 3.4171; sd: 7.64088; counts: 6
sfh 0.602373 18.0408 5.0821 15.2826 #avg: 13.431; avg_err: 3.49136; sd: 7.80693; counts: 6
sfh 0.607435 17.4851 11.2718 15.0611 #avg: 14.6061; avg_err: 4.20652; sd: 9.40605; counts: 6
sfh 0.612498 21.342 5.7462 18.8848 #avg: 15.0324; avg_err: 4.23293; sd: 9.46511; counts: 6
sfh 0.61756 21.8158 2.6291 19.3561 #avg: 14.3816; avg_err: 3.90351; sd: 8.72852; counts: 6
sfh 0.622623 18.2869 5.1611 15.7682 #avg: 13.3569; avg_err: 3.47385; sd: 7.76777; counts: 6
sfh 0.627685 18.2339 4.9889 15.9655 #avg: 13.7015; avg_err: 3.61709; sd: 8.08805; counts: 6
sfh 0.632748 18.4418 7.0243 15.8765 #avg: 14.0156; avg_err: 3.57861; sd: 8.00202; counts: 6
sfh 0.63781 12.1541 12.1835 9.48683 #avg: 12.6675; avg_err: 3.30632; sd: 7.39317; counts: 6
sfh 0.642873 9.11882 14.9762 6.93164 #avg: 10.5486; avg_err: 3.04621; sd: 6.81152; counts: 6
sfh 0.647935 8.5948 15.0167 5.97319 #avg: 9.96546; avg_err: 2.92444; sd: 6.53924; counts: 6
sfh 0.652998 7.36622 14.2881 4.86453 #avg: 8.63255; avg_err: 2.70759; sd: 6.05435; counts: 6
sfh 0.65806 8.99747 9.64373 6.04343 #avg: 9.8269; avg_err: 2.50361; sd: 5.59823; counts: 6
sfh 0.663123 6.52666 8.36054 2.27587 #avg: 7.34088; avg_err: 1.564; sd: 3.49721; counts: 6
sfh 0.668185 6.4711 8.5663 3.28028 #avg: 6.9094; avg_err: 1.70278; sd: 3.80754; counts: 6
sfh 0.673248 7.30293 12.179 4.01952 #avg: 7.89854; avg_err: 2.47874; sd: 5.54262; counts: 6
sfh 0.67831 7.29119 7.66781 4.37502 #avg: 7.32367; avg_err: 1.69087; sd: 3.78089; counts: 6
