#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 9.75 - 10.25
#HM   Stats: 6.297060e+11 (median) + 3.001470e+11  / - 1.942650e+11
#SM   Stats: 9.151870e+09 (median) + 4.939031e+09  / - 2.677170e+09
#VMP  Stats: 1.857600e+02 (median) + 2.345001e+01  / - 1.767999e+01
#ICL  Stats: 6.397690e+07 (median) + 1.954911e+08  / - 5.302450e+07
#SSFR Stats: 2.024182e-09 (median) + 3.052361e-09  / - 1.299427e-09
iclh 0.161935 0.055828 0.185437 0.0500305 #avg: 0.186505; avg_err: 0.0034218; sd: 0.879284; counts: 66032
iclh 0.166998 0.0548008 0.183782 0.0489255 #avg: 0.186854; avg_err: 0.00339462; sd: 0.872299; counts: 66032
iclh 0.17206 0.0525174 0.178592 0.0467957 #avg: 0.183942; avg_err: 0.00367608; sd: 0.944623; counts: 66032
iclh 0.177123 0.0502464 0.175985 0.0449743 #avg: 0.185914; avg_err: 0.00579037; sd: 1.48792; counts: 66032
iclh 0.182185 0.048468 0.171963 0.0436045 #avg: 0.183395; avg_err: 0.00639171; sd: 1.64245; counts: 66032
iclh 0.187248 0.0455694 0.166539 0.0412496 #avg: 0.176497; avg_err: 0.00499254; sd: 1.28291; counts: 66032
iclh 0.19231 0.0428105 0.160342 0.0389544 #avg: 0.169236; avg_err: 0.00455297; sd: 1.16995; counts: 66032
iclh 0.197373 0.039793 0.153526 0.0363753 #avg: 0.162235; avg_err: 0.00414512; sd: 1.06515; counts: 66032
iclh 0.202435 0.0367197 0.146366 0.0337699 #avg: 0.155471; avg_err: 0.00400295; sd: 1.02862; counts: 66032
iclh 0.207498 0.0338895 0.139633 0.031395 #avg: 0.147815; avg_err: 0.00380351; sd: 0.977368; counts: 66032
iclh 0.21256 0.0310211 0.134705 0.0289661 #avg: 0.142418; avg_err: 0.00453561; sd: 1.16549; counts: 66032
iclh 0.217623 0.0281756 0.124522 0.0264708 #avg: 0.132418; avg_err: 0.00353397; sd: 0.908107; counts: 66032
iclh 0.222685 0.0257312 0.116405 0.02438 #avg: 0.127337; avg_err: 0.00350762; sd: 0.901335; counts: 66032
iclh 0.227748 0.0230533 0.11006 0.0220077 #avg: 0.120081; avg_err: 0.00337391; sd: 0.866978; counts: 66032
iclh 0.23281 0.0206212 0.102976 0.0198524 #avg: 0.114689; avg_err: 0.0046781; sd: 1.20211; counts: 66032
iclh 0.237873 0.0182025 0.0962695 0.0176563 #avg: 0.107323; avg_err: 0.00546418; sd: 1.4041; counts: 66032
iclh 0.242935 0.0159914 0.0893046 0.0156288 #avg: 0.0985735; avg_err: 0.00454823; sd: 1.16874; counts: 66032
iclh 0.247998 0.0139449 0.0825833 0.0137318 #avg: 0.0925716; avg_err: 0.00456719; sd: 1.17361; counts: 66032
iclh 0.25306 0.0118967 0.0750711 0.0117958 #avg: 0.0848727; avg_err: 0.00302016; sd: 0.776076; counts: 66032
iclh 0.258123 0.0100106 0.0692028 0.0100012 #avg: 0.0817066; avg_err: 0.00405079; sd: 1.04091; counts: 66032
