#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 8.25 - 8.75
#HM   Stats: 1.057350e+11 (median) + 5.132401e+10  / - 3.645560e+10
#SM   Stats: 2.882360e+08 (median) + 1.539640e+08  / - 8.381000e+07
#VMP  Stats: 1.063000e+02 (median) + 1.171000e+01  / - 1.007000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.335879e-09 (median) + 1.649072e-09  / - 6.753793e-10
iclh 0.222685 0 0 0 #avg: 0.000172524; avg_err: 1.0073e-05; sd: 0.00706908; counts: 492507
iclh 0.227748 0 0 0 #avg: 0.000151801; avg_err: 7.03334e-06; sd: 0.00493591; counts: 492507
iclh 0.23281 0 0 0 #avg: 0.000143526; avg_err: 7.87e-06; sd: 0.00552307; counts: 492507
iclh 0.237873 0 0 0 #avg: 0.000135314; avg_err: 7.72441e-06; sd: 0.00542089; counts: 492507
iclh 0.242935 0 0 0 #avg: 0.000119358; avg_err: 6.24053e-06; sd: 0.00437952; counts: 492507
iclh 0.247998 0 0 0 #avg: 0.000106438; avg_err: 4.91566e-06; sd: 0.00344975; counts: 492507
iclh 0.25306 0 0 0 #avg: 9.92055e-05; avg_err: 4.60244e-06; sd: 0.00322993; counts: 492507
iclh 0.258123 0 0 0 #avg: 9.043e-05; avg_err: 4.41397e-06; sd: 0.00309767; counts: 492507
iclh 0.263185 0 0 0 #avg: 8.12669e-05; avg_err: 3.69329e-06; sd: 0.0025919; counts: 492507
iclh 0.268248 0 0 0 #avg: 7.34713e-05; avg_err: 3.32812e-06; sd: 0.00233564; counts: 492507
iclh 0.27331 0 0 0 #avg: 6.4073e-05; avg_err: 2.80489e-06; sd: 0.00196843; counts: 492507
iclh 0.278373 0 0 0 #avg: 5.78587e-05; avg_err: 2.69932e-06; sd: 0.00189435; counts: 492507
iclh 0.283435 0 0 0 #avg: 5.0871e-05; avg_err: 2.6095e-06; sd: 0.00183132; counts: 492507
iclh 0.288498 0 0 0 #avg: 4.55743e-05; avg_err: 2.52572e-06; sd: 0.00177252; counts: 492507
iclh 0.29356 0 0 0 #avg: 4.08483e-05; avg_err: 2.44041e-06; sd: 0.00171265; counts: 492507
iclh 0.298623 0 0 0 #avg: 3.39733e-05; avg_err: 2.19477e-06; sd: 0.00154026; counts: 492507
iclh 0.303685 0 0 0 #avg: 2.91734e-05; avg_err: 2.1358e-06; sd: 0.00149888; counts: 492507
iclh 0.308748 0 0 0 #avg: 2.44418e-05; avg_err: 2.51502e-06; sd: 0.00176501; counts: 492507
iclh 0.31381 0 0 0 #avg: 1.92562e-05; avg_err: 2.3013e-06; sd: 0.00161503; counts: 492507
iclh 0.318873 0 0 0 #avg: 1.39951e-05; avg_err: 1.72146e-06; sd: 0.0012081; counts: 492507
iclh 0.323935 0 0 0 #avg: 8.54196e-06; avg_err: 7.16638e-07; sd: 0.000502928; counts: 492507
iclh 0.328997 0 0 0 #avg: 4.01606e-06; avg_err: 4.6928e-07; sd: 0.000329335; counts: 492507
iclh 0.33406 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 492507
sm_mp 0.055623 0 0 0 #avg: 59.8605; avg_err: 59.8605; sd: 42009.3; counts: 492507
sm_mp 0.060123 0 0 0 #avg: 146.257; avg_err: 101.569; sd: 71279.9; counts: 492507
sm_mp 0.062373 0 0 0 #avg: 288.418; avg_err: 175.659; sd: 123275; counts: 492507
sm_mp 0.064623 0 0 0 #avg: 546.499; avg_err: 275.251; sd: 193168; counts: 492507
sm_mp 0.066873 0 0 0 #avg: 1129.59; avg_err: 380.292; sd: 266885; counts: 492507
sm_mp 0.069123 0 0 0 #avg: 2598.64; avg_err: 556.329; sd: 390425; counts: 492507
sm_mp 0.071373 0 0 0 #avg: 5897.9; avg_err: 760.555; sd: 533748; counts: 492507
sm_mp 0.073623 0 0 0 #avg: 12789.8; avg_err: 1075.44; sd: 754732; counts: 492507
sm_mp 0.075873 0 0 0 #avg: 25657.5; avg_err: 1598.21; sd: 1.1216e+06; counts: 492507
sm_mp 0.078123 0 0 0 #avg: 47613.9; avg_err: 2177.21; sd: 1.52794e+06; counts: 492507
sm_mp 0.080373 0 0 0 #avg: 83258.1; avg_err: 2774.89; sd: 1.94739e+06; counts: 492507
sm_mp 0.082623 0 0 0 #avg: 135223; avg_err: 3468.83; sd: 2.43438e+06; counts: 492507
sm_mp 0.085998 0 0 0 #avg: 259129; avg_err: 4696.74; sd: 3.29611e+06; counts: 492507
sm_mp 0.089373 0 0 0 #avg: 457058; avg_err: 6307.03; sd: 4.4262e+06; counts: 492507
sm_mp 0.092748 0 0 0 #avg: 741215; avg_err: 8062.29; sd: 5.65802e+06; counts: 492507
sm_mp 0.096123 0 141287 0 #avg: 1.12329e+06; avg_err: 9950.26; sd: 6.98297e+06; counts: 492507
sm_mp 0.099498 0 542358 0 #avg: 1.61073e+06; avg_err: 11941.4; sd: 8.38033e+06; counts: 492507
sm_mp 0.102873 0 1.35203e+06 0 #avg: 2.20556e+06; avg_err: 13924.9; sd: 9.77235e+06; counts: 492507
sm_mp 0.106248 0 2.65345e+06 0 #avg: 2.90906e+06; avg_err: 15963.5; sd: 1.1203e+07; counts: 492507
sm_mp 0.109623 0 4.40318e+06 0 #avg: 3.72231e+06; avg_err: 18102.8; sd: 1.27043e+07; counts: 492507
sm_mp 0.112998 48211.6 6.45699e+06 48211.6 #avg: 4.63956e+06; avg_err: 20295; sd: 1.42428e+07; counts: 492507
sm_mp 0.116373 174857 8.6584e+06 174857 #avg: 5.64882e+06; avg_err: 22509.6; sd: 1.5797e+07; counts: 492507
sm_mp 0.119748 406123 1.09135e+07 406123 #avg: 6.74809e+06; avg_err: 24783.2; sd: 1.73925e+07; counts: 492507
sm_mp 0.123123 757100 1.31811e+07 757100 #avg: 7.94371e+06; avg_err: 27137.3; sd: 1.90446e+07; counts: 492507
sm_mp 0.126498 1.22566e+06 1.54974e+07 1.22566e+06 #avg: 9.24516e+06; avg_err: 29581.4; sd: 2.07598e+07; counts: 492507
sm_mp 0.129873 1.84612e+06 1.78645e+07 1.84612e+06 #avg: 1.06647e+07; avg_err: 32081.7; sd: 2.25145e+07; counts: 492507
sm_mp 0.133248 2.65319e+06 2.03211e+07 2.65319e+06 #avg: 1.22095e+07; avg_err: 34626.7; sd: 2.43006e+07; counts: 492507
sm_mp 0.136623 3.63473e+06 2.27214e+07 3.62645e+06 #avg: 1.38865e+07; avg_err: 37226.4; sd: 2.6125e+07; counts: 492507
sm_mp 0.141685 5.41601e+06 2.66356e+07 5.33767e+06 #avg: 1.66496e+07; avg_err: 41263; sd: 2.89578e+07; counts: 492507
sm_mp 0.146748 7.52173e+06 3.07444e+07 7.28575e+06 #avg: 1.97117e+07; avg_err: 45395.8; sd: 3.18582e+07; counts: 492507
sm_mp 0.15181 9.92288e+06 3.5074e+07 9.41461e+06 #avg: 2.3068e+07; avg_err: 49587.1; sd: 3.47996e+07; counts: 492507
sm_mp 0.156873 1.25992e+07 3.96633e+07 1.16626e+07 #avg: 2.67011e+07; avg_err: 53840.8; sd: 3.77848e+07; counts: 492507
sm_mp 0.161935 1.5612e+07 4.43399e+07 1.40417e+07 #avg: 3.06181e+07; avg_err: 58125.4; sd: 4.07917e+07; counts: 492507
sm_mp 0.166998 1.90062e+07 4.90988e+07 1.65644e+07 #avg: 3.48382e+07; avg_err: 62464.4; sd: 4.38367e+07; counts: 492507
sm_mp 0.17206 2.27616e+07 5.37922e+07 1.92406e+07 #avg: 3.93268e+07; avg_err: 66780.2; sd: 4.68655e+07; counts: 492507
sm_mp 0.177123 2.69592e+07 5.83163e+07 2.21756e+07 #avg: 4.40861e+07; avg_err: 71024.8; sd: 4.98443e+07; counts: 492507
sm_mp 0.182185 3.16696e+07 6.24802e+07 2.54434e+07 #avg: 4.91488e+07; avg_err: 75203.8; sd: 5.27771e+07; counts: 492507
sm_mp 0.187248 3.67708e+07 6.64572e+07 2.89159e+07 #avg: 5.4488e+07; avg_err: 79390.3; sd: 5.57151e+07; counts: 492507
sm_mp 0.19231 4.2337e+07 7.033e+07 3.26965e+07 #avg: 6.00792e+07; avg_err: 83514.9; sd: 5.86097e+07; counts: 492507
sm_mp 0.197373 4.84004e+07 7.35946e+07 3.67125e+07 #avg: 6.59668e+07; avg_err: 87540.2; sd: 6.14346e+07; counts: 492507
sm_mp 0.202435 5.50179e+07 7.64801e+07 4.10579e+07 #avg: 7.21291e+07; avg_err: 91484.9; sd: 6.4203e+07; counts: 492507
sm_mp 0.207498 6.19454e+07 7.90846e+07 4.53775e+07 #avg: 7.85151e+07; avg_err: 95296.5; sd: 6.68779e+07; counts: 492507
sm_mp 0.21256 6.92372e+07 8.13258e+07 4.96628e+07 #avg: 8.51266e+07; avg_err: 98940.7; sd: 6.94354e+07; counts: 492507
sm_mp 0.217623 7.68578e+07 8.33342e+07 5.39516e+07 #avg: 9.19538e+07; avg_err: 102419; sd: 7.18761e+07; counts: 492507
sm_mp 0.222685 8.4622e+07 8.5143e+07 5.79371e+07 #avg: 9.89919e+07; avg_err: 105717; sd: 7.41906e+07; counts: 492507
sm_mp 0.227748 9.26462e+07 8.66888e+07 6.17728e+07 #avg: 1.06259e+08; avg_err: 108840; sd: 7.63828e+07; counts: 492507
sm_mp 0.23281 1.01037e+08 8.8192e+07 6.55436e+07 #avg: 1.13787e+08; avg_err: 111879; sd: 7.85151e+07; counts: 492507
sm_mp 0.237873 1.0946e+08 9.0056e+07 6.88396e+07 #avg: 1.21555e+08; avg_err: 114830; sd: 8.05861e+07; counts: 492507
sm_mp 0.242935 1.17897e+08 9.1909e+07 7.15567e+07 #avg: 1.29516e+08; avg_err: 117606; sd: 8.25347e+07; counts: 492507
sm_mp 0.247998 1.26393e+08 9.3956e+07 7.369e+07 #avg: 1.3769e+08; avg_err: 120181; sd: 8.43413e+07; counts: 492507
sm_mp 0.25306 1.34808e+08 9.6112e+07 7.51892e+07 #avg: 1.46074e+08; avg_err: 122582; sd: 8.60267e+07; counts: 492507
sm_mp 0.258123 1.43216e+08 9.8621e+07 7.59225e+07 #avg: 1.54675e+08; avg_err: 124824; sd: 8.75999e+07; counts: 492507
sm_mp 0.263185 1.51629e+08 1.0132e+08 7.5981e+07 #avg: 1.6349e+08; avg_err: 126912; sd: 8.90654e+07; counts: 492507
sm_mp 0.268248 1.59967e+08 1.04282e+08 7.55158e+07 #avg: 1.72496e+08; avg_err: 128864; sd: 9.04353e+07; counts: 492507
sm_mp 0.27331 1.68312e+08 1.07278e+08 7.43804e+07 #avg: 1.81724e+08; avg_err: 130672; sd: 9.17041e+07; counts: 492507
sm_mp 0.278373 1.76794e+08 1.10597e+08 7.2884e+07 #avg: 1.91207e+08; avg_err: 132405; sd: 9.29205e+07; counts: 492507
sm_mp 0.283435 1.85483e+08 1.14039e+08 7.1295e+07 #avg: 2.00959e+08; avg_err: 134033; sd: 9.4063e+07; counts: 492507
sm_mp 0.288498 1.94425e+08 1.1736e+08 6.9637e+07 #avg: 2.1098e+08; avg_err: 135461; sd: 9.50647e+07; counts: 492507
sm_mp 0.29356 2.03554e+08 1.20813e+08 6.8309e+07 #avg: 2.21222e+08; avg_err: 136699; sd: 9.59338e+07; counts: 492507
sm_mp 0.298623 2.12878e+08 1.24245e+08 6.7364e+07 #avg: 2.31684e+08; avg_err: 137743; sd: 9.66664e+07; counts: 492507
sm_mp 0.303685 2.22409e+08 1.27773e+08 6.7213e+07 #avg: 2.4238e+08; avg_err: 138626; sd: 9.7286e+07; counts: 492507
sm_mp 0.308748 2.32315e+08 1.31027e+08 6.8076e+07 #avg: 2.53331e+08; avg_err: 139376; sd: 9.78122e+07; counts: 492507
sm_mp 0.31381 2.42544e+08 1.34364e+08 7.0051e+07 #avg: 2.64576e+08; avg_err: 140148; sd: 9.83543e+07; counts: 492507
