#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 14.25 - 14.75
#HM   Stats: 3.011760e+14 (median) + 2.055890e+14  / - 1.198520e+14
#SM   Stats: 3.629570e+11 (median) + 3.100210e+11  / - 2.356420e+11
#VMP  Stats: 8.801600e+02 (median) + 2.521401e+02  / - 7.417999e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.617667e-11 (median) + 4.775797e-11  / - 5.742535e-12
sfh 0.197373 7.44923e-10 1.65306e-09 6.08838e-10 #avg: 8.26638e-10; avg_err: 3.40691e-10; sd: 7.61808e-10; counts: 6
sfh 0.202435 5.76826e-10 1.53595e-09 5.00489e-10 #avg: 6.84333e-10; avg_err: 3.04258e-10; sd: 6.80341e-10; counts: 6
sfh 0.207498 7.95842e-10 1.23793e-09 6.99597e-10 #avg: 7.99782e-10; avg_err: 2.78042e-10; sd: 6.21721e-10; counts: 6
sfh 0.21256 7.2028e-10 5.51325e-10 6.03999e-10 #avg: 6.04691e-10; avg_err: 1.68424e-10; sd: 3.76607e-10; counts: 6
sfh 0.217623 9.42983e-10 4.1172e-10 8.16113e-10 #avg: 7.16007e-10; avg_err: 2.05068e-10; sd: 4.58545e-10; counts: 6
sfh 0.222685 9.11404e-10 8.18504e-10 7.83596e-10 #avg: 8.29651e-10; avg_err: 2.19899e-10; sd: 4.91708e-10; counts: 6
sfh 0.227748 1.02922e-09 6.84047e-10 8.63958e-10 #avg: 8.95438e-10; avg_err: 2.35744e-10; sd: 5.27141e-10; counts: 6
sfh 0.23281 1.02203e-09 5.56928e-10 8.63975e-10 #avg: 8.63902e-10; avg_err: 2.04102e-10; sd: 4.56387e-10; counts: 6
sfh 0.237873 6.46946e-10 5.45846e-10 4.81069e-10 #avg: 6.61216e-10; avg_err: 1.38498e-10; sd: 3.09692e-10; counts: 6
sfh 0.242935 6.75642e-10 2.20112e-10 5.36108e-10 #avg: 5.86508e-10; avg_err: 1.06638e-10; sd: 2.38451e-10; counts: 6
sfh 0.247998 6.00655e-10 3.52557e-10 5.39434e-10 #avg: 4.57711e-10; avg_err: 1.48879e-10; sd: 3.32904e-10; counts: 6
sfh 0.25306 2.32424e-10 5.06135e-10 1.45962e-10 #avg: 2.98807e-10; avg_err: 9.92497e-11; sd: 2.21929e-10; counts: 6
sfh 0.258123 3.08025e-10 3.55099e-10 2.53036e-10 #avg: 3.02685e-10; avg_err: 9.88561e-11; sd: 2.21049e-10; counts: 6
sfh 0.263185 2.41509e-10 4.24689e-10 1.45336e-10 #avg: 3.06559e-10; avg_err: 9.29908e-11; sd: 2.07934e-10; counts: 6
sfh 0.268248 2.54987e-10 4.99528e-10 1.11848e-10 #avg: 3.21781e-10; avg_err: 9.09534e-11; sd: 2.03378e-10; counts: 6
sfh 0.27331 3.2008e-10 4.91336e-10 9.63906e-11 #avg: 3.80351e-10; avg_err: 8.99377e-11; sd: 2.01107e-10; counts: 6
sfh 0.278373 4.18703e-10 3.90688e-10 2.01584e-10 #avg: 4.17933e-10; avg_err: 8.56345e-11; sd: 1.91484e-10; counts: 6
sfh 0.283435 4.46643e-10 4.04186e-10 2.41035e-10 #avg: 4.40671e-10; avg_err: 9.29683e-11; sd: 2.07883e-10; counts: 6
sfh 0.288498 4.86077e-10 3.86671e-10 2.57833e-10 #avg: 4.75256e-10; avg_err: 9.1194e-11; sd: 2.03916e-10; counts: 6
sfh 0.29356 4.25301e-10 8.08196e-10 2.17049e-10 #avg: 5.0835e-10; avg_err: 1.52097e-10; sd: 3.40099e-10; counts: 6
sfh 0.298623 6.19619e-10 6.80854e-10 4.38922e-10 #avg: 6.09494e-10; avg_err: 1.75004e-10; sd: 3.91321e-10; counts: 6
sfh 0.303685 5.69439e-10 6.82231e-10 3.05935e-10 #avg: 5.96231e-10; avg_err: 1.60241e-10; sd: 3.5831e-10; counts: 6
sfh 0.308748 8.33523e-10 2.81891e-10 6.40998e-10 #avg: 6.00552e-10; avg_err: 1.60199e-10; sd: 3.58215e-10; counts: 6
sfh 0.31381 7.15409e-10 5.01325e-10 5.1563e-10 #avg: 5.89955e-10; avg_err: 1.56492e-10; sd: 3.49927e-10; counts: 6
sfh 0.318873 5.55583e-10 1.96819e-10 3.17682e-10 #avg: 4.85148e-10; avg_err: 8.89765e-11; sd: 1.98957e-10; counts: 6
sfh 0.323935 5.57876e-10 1.14977e-10 3.59869e-10 #avg: 4.33875e-10; avg_err: 8.39817e-11; sd: 1.87789e-10; counts: 6
sfh 0.328997 5.96559e-10 1.85234e-10 4.35604e-10 #avg: 4.56742e-10; avg_err: 1.14638e-10; sd: 2.56339e-10; counts: 6
sfh 0.33406 2.24173e-10 4.28229e-10 1.59016e-10 #avg: 2.53316e-10; avg_err: 8.37314e-11; sd: 1.87229e-10; counts: 6
sfh 0.339122 1.82828e-10 4.48005e-10 1.32088e-10 #avg: 2.34371e-10; avg_err: 8.51901e-11; sd: 1.90491e-10; counts: 6
sfh 0.344185 1.50626e-10 3.11176e-10 1.04671e-10 #avg: 1.96703e-10; avg_err: 6.78934e-11; sd: 1.51814e-10; counts: 6
sfh 0.349247 2.16891e-10 4.66233e-10 1.67489e-10 #avg: 2.32244e-10; avg_err: 9.74283e-11; sd: 2.17856e-10; counts: 6
sfh 0.35431 1.35434e-10 7.52207e-10 7.42206e-11 #avg: 2.48077e-10; avg_err: 1.31339e-10; sd: 2.93683e-10; counts: 6
sfh 0.359372 1.23306e-10 7.59072e-10 8.08948e-11 #avg: 2.23036e-10; avg_err: 1.3256e-10; sd: 2.96412e-10; counts: 6
sfh 0.364435 1.01603e-10 7.73643e-10 9.35358e-11 #avg: 2.15321e-10; avg_err: 1.33294e-10; sd: 2.98054e-10; counts: 6
sfh 0.369497 1.16055e-10 4.76439e-10 1.06719e-10 #avg: 1.7123e-10; avg_err: 8.59997e-11; sd: 1.92301e-10; counts: 6
sfh 0.37456 1.28619e-10 4.10469e-10 1.16087e-10 #avg: 1.6872e-10; avg_err: 7.76399e-11; sd: 1.73608e-10; counts: 6
sfh 0.379622 1.41728e-10 3.73032e-11 1.27612e-10 #avg: 1.09897e-10; avg_err: 2.44265e-11; sd: 5.46194e-11; counts: 6
sfh 0.384685 1.15606e-10 6.43936e-11 9.37668e-11 #avg: 9.95417e-11; avg_err: 2.70061e-11; sd: 6.03874e-11; counts: 6
sfh 0.389747 1.09359e-10 8.49214e-11 8.07969e-11 #avg: 1.03409e-10; avg_err: 2.63658e-11; sd: 5.89556e-11; counts: 6
sfh 0.39481 9.07236e-11 1.00432e-10 6.28434e-11 #avg: 9.27858e-11; avg_err: 2.5146e-11; sd: 5.62283e-11; counts: 6
sfh 0.399872 7.99467e-11 1.42199e-10 5.78268e-11 #avg: 9.29006e-11; avg_err: 3.04943e-11; sd: 6.81874e-11; counts: 6
sfh 0.404935 6.27729e-11 1.10436e-10 4.09641e-11 #avg: 7.46266e-11; avg_err: 2.30319e-11; sd: 5.15008e-11; counts: 6
sfh 0.409997 8.79846e-11 8.976e-11 6.95947e-11 #avg: 9.14595e-11; avg_err: 2.4073e-11; sd: 5.38288e-11; counts: 6
