#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 14.25 - 14.75
#HM   Stats: 2.177940e+14 (median) + 0.000000e+00  / - 0.000000e+00
#SM   Stats: 1.070280e+11 (median) + 0.000000e+00  / - 0.000000e+00
#VMP  Stats: 7.853000e+02 (median) + 0.000000e+00  / - 0.000000e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.122453e-11 (median) + 0.000000e+00  / - 0.000000e+00
sfh 0.404935 4.8938 0 0 #avg: 4.8938; avg_err: 4.8938; sd: 0; counts: 1
sfh 0.409997 5.12165 0 0 #avg: 5.12165; avg_err: 5.12165; sd: 0; counts: 1
sfh 0.41506 5.36709 0 0 #avg: 5.36709; avg_err: 5.36709; sd: 0; counts: 1
sfh 0.420122 5.39857 0 0 #avg: 5.39857; avg_err: 5.39857; sd: 0; counts: 1
sfh 0.425185 5.06522 0 0 #avg: 5.06522; avg_err: 5.06522; sd: 0; counts: 1
sfh 0.430247 4.92765 0 0 #avg: 4.92765; avg_err: 4.92765; sd: 0; counts: 1
sfh 0.43531 4.81342 0 0 #avg: 4.81342; avg_err: 4.81342; sd: 0; counts: 1
sfh 0.440372 4.51445 0 0 #avg: 4.51445; avg_err: 4.51445; sd: 0; counts: 1
sfh 0.445435 5.22362 0 0 #avg: 5.22362; avg_err: 5.22362; sd: 0; counts: 1
sfh 0.450497 5.08237 0 0 #avg: 5.08237; avg_err: 5.08237; sd: 0; counts: 1
sfh 0.45556 5.37705 0 0 #avg: 5.37705; avg_err: 5.37705; sd: 0; counts: 1
sfh 0.460622 5.8136 0 0 #avg: 5.8136; avg_err: 5.8136; sd: 0; counts: 1
sfh 0.465685 5.36223 0 0 #avg: 5.36223; avg_err: 5.36223; sd: 0; counts: 1
sfh 0.470747 5.52602 0 0 #avg: 5.52602; avg_err: 5.52602; sd: 0; counts: 1
sfh 0.47581 5.60124 0 0 #avg: 5.60124; avg_err: 5.60124; sd: 0; counts: 1
sfh 0.480872 5.93562 0 0 #avg: 5.93562; avg_err: 5.93562; sd: 0; counts: 1
sfh 0.485935 6.48831 0 0 #avg: 6.48831; avg_err: 6.48831; sd: 0; counts: 1
sfh 0.490997 7.08041 0 0 #avg: 7.08041; avg_err: 7.08041; sd: 0; counts: 1
sfh 0.49606 6.86163 0 0 #avg: 6.86163; avg_err: 6.86163; sd: 0; counts: 1
sfh 0.501122 6.8251 0 0 #avg: 6.8251; avg_err: 6.8251; sd: 0; counts: 1
sfh 0.506185 6.15819 0 0 #avg: 6.15819; avg_err: 6.15819; sd: 0; counts: 1
sfh 0.511247 5.4918 0 0 #avg: 5.4918; avg_err: 5.4918; sd: 0; counts: 1
sfh 0.51631 5.23756 0 0 #avg: 5.23756; avg_err: 5.23756; sd: 0; counts: 1
sfh 0.521372 5.572 0 0 #avg: 5.572; avg_err: 5.572; sd: 0; counts: 1
sfh 0.526435 5.32713 0 0 #avg: 5.32713; avg_err: 5.32713; sd: 0; counts: 1
sfh 0.531497 5.51558 0 0 #avg: 5.51558; avg_err: 5.51558; sd: 0; counts: 1
sfh 0.53656 5.09335 0 0 #avg: 5.09335; avg_err: 5.09335; sd: 0; counts: 1
sfh 0.541622 5.17639 0 0 #avg: 5.17639; avg_err: 5.17639; sd: 0; counts: 1
sfh 0.546685 5.75657 0 0 #avg: 5.75657; avg_err: 5.75657; sd: 0; counts: 1
sfh 0.551747 6.00647 0 0 #avg: 6.00647; avg_err: 6.00647; sd: 0; counts: 1
sfh 0.55681 5.72841 0 0 #avg: 5.72841; avg_err: 5.72841; sd: 0; counts: 1
sfh 0.561872 5.27433 0 0 #avg: 5.27433; avg_err: 5.27433; sd: 0; counts: 1
sfh 0.566935 4.91226 0 0 #avg: 4.91226; avg_err: 4.91226; sd: 0; counts: 1
sfh 0.571997 4.79202 0 0 #avg: 4.79202; avg_err: 4.79202; sd: 0; counts: 1
sfh 0.57706 4.74959 0 0 #avg: 4.74959; avg_err: 4.74959; sd: 0; counts: 1
sfh 0.582123 5.51022 0 0 #avg: 5.51022; avg_err: 5.51022; sd: 0; counts: 1
sfh 0.587185 4.83634 0 0 #avg: 4.83634; avg_err: 4.83634; sd: 0; counts: 1
sfh 0.592248 4.74609 0 0 #avg: 4.74609; avg_err: 4.74609; sd: 0; counts: 1
sfh 0.59731 4.64418 0 0 #avg: 4.64418; avg_err: 4.64418; sd: 0; counts: 1
sfh 0.602373 4.90105 0 0 #avg: 4.90105; avg_err: 4.90105; sd: 0; counts: 1
sfh 0.607435 4.44552 0 0 #avg: 4.44552; avg_err: 4.44552; sd: 0; counts: 1
sfh 0.612498 4.82484 0 0 #avg: 4.82484; avg_err: 4.82484; sd: 0; counts: 1
sfh 0.61756 6.80576 0 0 #avg: 6.80576; avg_err: 6.80576; sd: 0; counts: 1
sfh 0.622623 7.28542 0 0 #avg: 7.28542; avg_err: 7.28542; sd: 0; counts: 1
sfh 0.627685 6.13499 0 0 #avg: 6.13499; avg_err: 6.13499; sd: 0; counts: 1
sfh 0.632748 5.67682 0 0 #avg: 5.67682; avg_err: 5.67682; sd: 0; counts: 1
sfh 0.63781 6.26352 0 0 #avg: 6.26352; avg_err: 6.26352; sd: 0; counts: 1
sfh 0.642873 6.03243 0 0 #avg: 6.03243; avg_err: 6.03243; sd: 0; counts: 1
sfh 0.647935 5.14642 0 0 #avg: 5.14642; avg_err: 5.14642; sd: 0; counts: 1
sfh 0.652998 6.44625 0 0 #avg: 6.44625; avg_err: 6.44625; sd: 0; counts: 1
sfh 0.65806 5.83241 0 0 #avg: 5.83241; avg_err: 5.83241; sd: 0; counts: 1
sfh 0.663123 4.97027 0 0 #avg: 4.97027; avg_err: 4.97027; sd: 0; counts: 1
sfh 0.668185 6.10874 0 0 #avg: 6.10874; avg_err: 6.10874; sd: 0; counts: 1
sfh 0.673248 6.57886 0 0 #avg: 6.57886; avg_err: 6.57886; sd: 0; counts: 1
sfh 0.67831 7.7534 0 0 #avg: 7.7534; avg_err: 7.7534; sd: 0; counts: 1
sfh 0.683373 7.24674 0 0 #avg: 7.24674; avg_err: 7.24674; sd: 0; counts: 1
sfh 0.690967 8.46637 0 0 #avg: 8.46637; avg_err: 8.46637; sd: 0; counts: 1
sfh 0.69856 8.58427 0 0 #avg: 8.58427; avg_err: 8.58427; sd: 0; counts: 1
sfh 0.706154 6.0209 0 0 #avg: 6.0209; avg_err: 6.0209; sd: 0; counts: 1
sfh 0.713748 7.92799 0 0 #avg: 7.92799; avg_err: 7.92799; sd: 0; counts: 1
sfh 0.721342 5.63233 0 0 #avg: 5.63233; avg_err: 5.63233; sd: 0; counts: 1
sfh 0.728935 3.93035 0 0 #avg: 3.93035; avg_err: 3.93035; sd: 0; counts: 1
sfh 0.736529 3.7721 0 0 #avg: 3.7721; avg_err: 3.7721; sd: 0; counts: 1
sfh 0.744123 1.64978 0 0 #avg: 1.64978; avg_err: 1.64978; sd: 0; counts: 1
sfh 0.751717 1.49584 0 0 #avg: 1.49584; avg_err: 1.49584; sd: 0; counts: 1
sfh 0.75931 1.37044 0 0 #avg: 1.37044; avg_err: 1.37044; sd: 0; counts: 1
sfh 0.766904 0.668546 0 0 #avg: 0.668546; avg_err: 0.668546; sd: 0; counts: 1
sfh 0.774498 0.950572 0 0 #avg: 0.950572; avg_err: 0.950572; sd: 0; counts: 1
sfh 0.782092 0.785637 0 0 #avg: 0.785637; avg_err: 0.785637; sd: 0; counts: 1
sfh 0.789685 1.03388 0 0 #avg: 1.03388; avg_err: 1.03388; sd: 0; counts: 1
sfh 0.797279 0.934688 0 0 #avg: 0.934688; avg_err: 0.934688; sd: 0; counts: 1
sfh 0.804873 0.571424 0 0 #avg: 0.571424; avg_err: 0.571424; sd: 0; counts: 1
sfh 0.812467 0.521874 0 0 #avg: 0.521874; avg_err: 0.521874; sd: 0; counts: 1
sfh 0.82006 0.492757 0 0 #avg: 0.492757; avg_err: 0.492757; sd: 0; counts: 1
sfh 0.827654 0.455775 0 0 #avg: 0.455775; avg_err: 0.455775; sd: 0; counts: 1
sfh 0.835248 0.68209 0 0 #avg: 0.68209; avg_err: 0.68209; sd: 0; counts: 1
sfh 0.842842 0.557627 0 0 #avg: 0.557627; avg_err: 0.557627; sd: 0; counts: 1
sfh 0.850435 0.208157 0 0 #avg: 0.208157; avg_err: 0.208157; sd: 0; counts: 1
sfh 0.858029 0.450845 0 0 #avg: 0.450845; avg_err: 0.450845; sd: 0; counts: 1
sfh 0.865623 0.436249 0 0 #avg: 0.436249; avg_err: 0.436249; sd: 0; counts: 1
sfh 0.873217 0.313036 0 0 #avg: 0.313036; avg_err: 0.313036; sd: 0; counts: 1
sfh 0.88081 0.601355 0 0 #avg: 0.601355; avg_err: 0.601355; sd: 0; counts: 1
sfh 0.888404 0.76581 0 0 #avg: 0.76581; avg_err: 0.76581; sd: 0; counts: 1
sfh 0.895998 0.311829 0 0 #avg: 0.311829; avg_err: 0.311829; sd: 0; counts: 1
sfh 0.903592 0.280528 0 0 #avg: 0.280528; avg_err: 0.280528; sd: 0; counts: 1
